gesture,image_path,predicted,confidence,correct,status,inference_ms
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_1.jpg,Acc+Left,1.0000,1,ok,97.562
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_10.jpg,Acc+Left,0.9999,1,ok,59.716
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_10_aug_1_rotation_slight.jpg,Acc+Left,0.9999,1,ok,38.710
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_10_aug_2_rotation.jpg,Acc+Left,0.9999,1,ok,49.414
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_10_aug_3_shadow.jpg,Acc+Left,0.9999,1,ok,36.277
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_10_aug_4_rotation_brightness_contrast.jpg,Acc+Left,0.9999,1,ok,41.244
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_10_aug_5_zoom_color_jitter.jpg,Acc+Left,0.9999,1,ok,45.289
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_11.jpg,Acc+Left,0.9999,1,ok,50.265
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_11_aug_1_rotation.jpg,Acc+Left,0.9999,1,ok,41.678
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_11_aug_2_brightness_contrast.jpg,Acc+Left,0.9999,1,ok,36.702
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_11_aug_3_zoom.jpg,Acc+Left,0.9998,1,ok,37.512
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_11_aug_4_rotation_shadow.jpg,Acc+Left,0.9999,1,ok,56.818
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_11_aug_5_perspective.jpg,Acc+Left,0.9999,1,ok,59.836
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_12.jpg,Acc+Left,0.9999,1,ok,53.768
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_12_aug_1_shadow_perspective.jpg,Acc+Left,0.9999,1,ok,45.589
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_12_aug_2_color_jitter_gaussian_blur.jpg,Acc+Left,0.9999,1,ok,42.570
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_12_aug_3_rotation_slight_gaussian_noise.jpg,,0.4947,0,low-confidence,42.178
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_12_aug_4_rotation_brightness_contrast.jpg,Accelerate,0.5382,0,ok,45.143
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_12_aug_5_shadow.jpg,Acc+Left,0.9999,1,ok,48.531
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_13.jpg,Acc+Left,0.9999,1,ok,46.913
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_13_aug_1_gaussian_blur.jpg,Acc+Left,0.9999,1,ok,57.156
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_13_aug_2_perspective_brightness_contrast.jpg,Acc+Left,0.9999,1,ok,37.479
Acc+Left,/home/rishabh/Desktop/sem3/esw/gesture_control/finalclassification_model/gestures/Acc+Left/Acc+Left_13_aug_3_rotation.jpg,Acc+Left,0.9999,1,ok,59.366
