--- Image Quality Evaluation Summary ---

AOT GAN SIMILARITY RESULTS WITHIN MASK

Ideal Images Folder: /Users/kaushikyadala/Documents/IIIT/Third_Sem/ESW/mass_benchmarking/esw_dataset/ideal
Compared Images Folder: /Users/kaushikyadala/Documents/IIIT/Third_Sem/ESW/mass_benchmarking/aot_gan/inpainted
Processed 101 image pairs.

========================================
AVERAGE METRICS (Higher is better, except for LPIPS & FID)
========================================
Average PSNR:  15.1341
Average SSIM:  0.7591
Average LPIPS: 0.0750

========================================
DATASET-LEVEL METRIC (Lower is better)
========================================
FID Score:     138.4853

================================================================================
DETAILED PER-IMAGE ANALYSIS
================================================================================
Image Name                               | PSNR       | SSIM       | LPIPS     
--------------------------------------------------------------------------------
016.jpg                                  | 14.0465    | 0.6042     | 0.0511    
002.jpg                                  | 17.9211    | 0.5182     | 0.0073    
003.jpg                                  | 32.6013    | 0.9321     | 0.0001    
017.png                                  | 8.0241     | 0.2601     | 0.2476    
029.png                                  | 9.5382     | 0.7570     | 0.3054    
015.png                                  | 19.2626    | 0.9705     | 0.0025    
001.png                                  | 15.2870    | 0.9472     | 0.0350    
014.jpg                                  | 19.0343    | 0.6528     | 0.0186    
028.png                                  | 14.5784    | 0.8438     | 0.1007    
010.png                                  | 17.5622    | 0.9466     | 0.0403    
004.jpg                                  | 15.6965    | 0.6222     | 0.0636    
038.jpg                                  | 13.3959    | 0.8803     | 0.0771    
005.jpg                                  | 13.8109    | 0.8300     | 0.0955    
039.png                                  | 13.0357    | 0.9362     | 0.0373    
011.png                                  | 14.3186    | 0.9705     | 0.0262    
007.png                                  | 12.5869    | 0.9567     | 0.0526    
013.jpg                                  | 13.1386    | 0.8304     | 0.0626    
012.png                                  | 20.1854    | 0.9307     | 0.0391    
006.png                                  | 19.4715    | 0.9506     | 0.0292    
101.png                                  | 13.1696    | 0.7144     | 0.0715    
049.png                                  | 13.0344    | 0.9387     | 0.0666    
075.png                                  | 10.0672    | 0.6313     | 0.1649    
061.jpg                                  | 12.7809    | 0.7191     | 0.0829    
074.png                                  | 18.6841    | 0.9216     | 0.0511    
060.png                                  | 15.6096    | 0.9482     | 0.0300    
048.png                                  | 10.5596    | 0.8021     | 0.1722    
100.png                                  | 13.1459    | 0.6657     | 0.0597    
102.png                                  | 12.0198    | 0.9142     | 0.0162    
076.png                                  | 10.3922    | 0.5762     | 0.2259    
089.png                                  | 22.7053    | 0.4892     | 0.0027    
062.jpg                                  | 11.3183    | 0.4119     | 0.1023    
063.jpg                                  | 17.3727    | 0.5544     | 0.0789    
088.png                                  | 13.9305    | 0.5635     | 0.0417    
077.png                                  | 14.2122    | 0.2780     | 0.2178    
073.png                                  | 11.1270    | 0.7781     | 0.0972    
067.png                                  | 16.0366    | 0.7281     | 0.0080    
098.png                                  | 13.8139    | 0.9261     | 0.0548    
