--- Image Quality Evaluation Summary ---

LaMa Dilated SIMILARITY RESULTS WITHIN MASK

Ideal Images Folder: /Users/kaushikyadala/Documents/IIIT/Third_Sem/ESW/mass_benchmarking/esw_dataset/ideal
Compared Images Folder: /Users/kaushikyadala/Documents/IIIT/Third_Sem/ESW/mass_benchmarking/lama/inpainted
Processed 101 image pairs.

========================================
AVERAGE METRICS (Higher is better, except for LPIPS & FID)
========================================
Average PSNR:  14.7645
Average SSIM:  0.7636
Average LPIPS: 0.0733

========================================
DATASET-LEVEL METRIC (Lower is better)
========================================
FID Score:     135.9633

================================================================================
DETAILED PER-IMAGE ANALYSIS
================================================================================
Image Name                               | PSNR       | SSIM       | LPIPS     
--------------------------------------------------------------------------------
016.jpg                                  | 20.4814    | 0.6177     | 0.0373    
002.jpg                                  | 19.0780    | 0.5183     | 0.0084    
003.jpg                                  | 11.9248    | 0.8959     | 0.0104    
017.png                                  | 12.5383    | 0.3232     | 0.2065    
029.png                                  | 13.8209    | 0.7681     | 0.2188    
015.png                                  | 16.8369    | 0.9636     | 0.0123    
001.png                                  | 19.0608    | 0.9608     | 0.0357    
014.jpg                                  | 18.5814    | 0.6489     | 0.0171    
028.png                                  | 13.8781    | 0.8481     | 0.1219    
010.png                                  | 15.4223    | 0.9434     | 0.0379    
004.jpg                                  | 13.6529    | 0.6218     | 0.0689    
038.jpg                                  | 12.1013    | 0.8822     | 0.0949    
005.jpg                                  | 16.5877    | 0.8359     | 0.0756    
039.png                                  | 12.7604    | 0.9324     | 0.0361    
011.png                                  | 15.0544    | 0.9688     | 0.0230    
007.png                                  | 15.5602    | 0.9588     | 0.0358    
013.jpg                                  | 17.3296    | 0.8434     | 0.0452    
012.png                                  | 19.7562    | 0.9322     | 0.0431    
006.png                                  | 12.1484    | 0.9409     | 0.0492    
101.png                                  | 16.8748    | 0.7178     | 0.0506    
049.png                                  | 15.7583    | 0.9394     | 0.0479    
075.png                                  | 16.0466    | 0.6607     | 0.1608    
061.jpg                                  | 11.9797    | 0.7317     | 0.0778    
074.png                                  | 17.8913    | 0.9272     | 0.0493    
060.png                                  | 14.2926    | 0.9407     | 0.0307    
048.png                                  | 21.4229    | 0.8956     | 0.1186    
100.png                                  | 13.4572    | 0.6591     | 0.0519    
102.png                                  | 19.2954    | 0.9219     | 0.0130    
076.png                                  | 5.8885     | 0.5482     | 0.2330    
089.png                                  | 18.7825    | 0.4867     | 0.0022    
062.jpg                                  | 10.5187    | 0.4197     | 0.1203    
063.jpg                                  | 9.9901     | 0.5399     | 0.0909    
088.png                                  | 16.2125    | 0.5577     | 0.0280    
077.png                                  | 10.4597    | 0.2831     | 0.2167    
073.png                                  | 6.3219     | 0.7689     | 0.1195    
067.png                                  | 22.8601    | 0.7495     | 0.0088    
098.png                                  | 18.1252    | 0.9294     | 0.0396    
