--- Image Quality Evaluation Summary ---

LaMa Dilated SIMILARITY RESULTS WHOLE IMAGE

Ideal Images Folder: /Users/kaushikyadala/Documents/IIIT/Third_Sem/ESW/mass_benchmarking/esw_dataset/ideal
Compared Images Folder: /Users/kaushikyadala/Documents/IIIT/Third_Sem/ESW/mass_benchmarking/lama/inpainted
Processed 101 image pairs.

========================================
AVERAGE METRICS (Higher is better, except for LPIPS & FID)
========================================
Average PSNR:  21.1723
Average SSIM:  0.7621

---- More human like checking
Average LPIPS: 0.1826

========================================
DATASET-LEVEL METRIC (Lower is better)
========================================
FID Score:     135.9633

================================================================================
DETAILED PER-IMAGE ANALYSIS
================================================================================
Image Name                               | PSNR       | SSIM       | LPIPS     
--------------------------------------------------------------------------------
016.jpg                                  | 20.6819    | 0.6356     | 0.0745    
002.jpg                                  | 18.0677    | 0.5282     | 0.1010    
003.jpg                                  | 23.6901    | 0.8985     | 0.1023    
017.png                                  | 14.1978    | 0.3225     | 0.1138    
029.png                                  | 17.4057    | 0.7606     | 0.3326    
015.png                                  | 27.9547    | 0.9596     | 0.0993    
001.png                                  | 28.6297    | 0.9378     | 0.0577    
014.jpg                                  | 20.4212    | 0.6586     | 0.0989    
028.png                                  | 20.1921    | 0.8343     | 0.2130    
010.png                                  | 24.2186    | 0.9304     | 0.1027    
004.jpg                                  | 19.9267    | 0.6376     | 0.1309    
038.jpg                                  | 20.6462    | 0.8641     | 0.1006    
005.jpg                                  | 24.1984    | 0.8360     | 0.1032    
039.png                                  | 24.2627    | 0.9130     | 0.0903    
011.png                                  | 24.3576    | 0.9656     | 0.1345    
007.png                                  | 24.1387    | 0.9511     | 0.1121    
013.jpg                                  | 24.3071    | 0.8378     | 0.0809    
012.png                                  | 27.9112    | 0.9229     | 0.1128    
006.png                                  | 19.7587    | 0.9399     | 0.2026    
101.png                                  | 20.7166    | 0.7196     | 0.0911    
049.png                                  | 23.8797    | 0.9308     | 0.0959    
075.png                                  | 17.1183    | 0.6590     | 0.3072    
061.jpg                                  | 14.7109    | 0.7321     | 0.3842    
074.png                                  | 23.3453    | 0.9276     | 0.3807    
060.png                                  | 23.7857    | 0.9323     | 0.0649    
048.png                                  | 25.9307    | 0.8956     | 0.2791    
100.png                                  | 20.5670    | 0.6649     | 0.1000    
102.png                                  | 29.3451    | 0.9196     | 0.0670    
076.png                                  | 9.1458     | 0.5500     | 0.4546    
089.png                                  | 21.4985    | 0.4867     | 0.0648    
062.jpg                                  | 13.6954    | 0.4205     | 0.3354    
063.jpg                                  | 15.5028    | 0.5426     | 0.2840    
088.png                                  | 21.8550    | 0.5577     | 0.1462    
077.png                                  | 12.4660    | 0.2863     | 0.4214    
073.png                                  | 11.8701    | 0.7692     | 0.3640    
067.png                                  | 28.3448    | 0.7541     | 0.1160    
098.png                                  | 27.0780    | 0.9127     | 0.0629    
099.png                                  | 23.4643    | 0.9290     | 0.1414    
066.png                                  | 20.2819    | 0.4563     | 0.1974    
072.png                                  | 17.3881    | 0.5854     | 0.2084    
070.png                                  | 29.0608    | 0.7393     | 0.2288    
058.png                                  | 25.8559    | 0.9412     | 0.0358    
064.jpg                                  | 19.4810    | 0.6979     | 0.1824    
059.jpg                                  | 30.2859    | 0.9334     | 0.0823    
065.jpg                                  | 19.9946    | 0.6705     | 0.1836    
071.png                                  | 20.7320    | 0.8693     | 0.2044    
068.png                                  | 25.8859    | 0.9238     | 0.1280    
054.png                                  | 25.2989    | 0.9210     | 0.0609    
083.png                                  | 18.7739    | 0.5466     | 0.2533    
097.png                                  | 23.8721    | 0.7910     | 0.0968    
040.jpg                                  | 19.4767    | 0.5099     | 0.0870    
096.png                                  | 21.7999    | 0.8653     | 0.1110    
082.png                                  | 14.8816    | 0.8486     | 0.5535    
055.png                                  | 25.8271    | 0.9614     | 0.0992    
041.png                                  | 18.2277    | 0.8416     | 0.2428    
069.png                                  | 18.0494    | 0.7946     | 0.2609    
057.png                                  | 18.5684    | 0.8501     | 0.1411    
043.png                                  | 23.7106    | 0.9225     | 0.2094    
094.png                                  | 27.3201    | 0.8791     | 0.0279    
080.png                                  | 9.2027     | 0.5163     | 0.5778    
081.png                                  | 17.0234    | 0.8169     | 0.3206    
095.png                                  | 20.6479    | 0.6845     | 0.1193    
042.png                                  | 19.4539    | 0.8306     | 0.1848    
056.png                                  | 20.7163    | 0.9068     | 0.3105    
052.png                                  | 25.7370    | 0.9440     | 0.1024    
046.png                                  | 18.3409    | 0.8361     | 0.3173    
091.png                                  | 12.2976    | 0.1255     | 0.2218    
085.png                                  | 17.0021    | 0.7186     | 0.4126    
084.png                                  | 28.4168    | 0.7585     | 0.2095    
090.png                                  | 14.5472    | 0.3455     | 0.1005    
047.png                                  | 28.7580    | 0.9761     | 0.0848    
053.png                                  | 28.4499    | 0.9568     | 0.0432    
045.png                                  | 13.8732    | 0.7166     | 0.4180    
051.png                                  | 26.2180    | 0.9423     | 0.0376    
079.png                                  | 17.0244    | 0.6606     | 0.4679    
086.png                                  | 19.9698    | 0.8550     | 0.2864    
092.png                                  | 21.1602    | 0.6401     | 0.1570    
093.png                                  | 22.6465    | 0.6369     | 0.1427    
087.png                                  | 22.1569    | 0.8788     | 0.0547    
078.png                                  | 15.9278    | 0.7721     | 0.2960    
050.png                                  | 30.6815    | 0.9606     | 0.0310    
044.png                                  | 25.7201    | 0.8856     | 0.2081    
023.png                                  | 24.9746    | 0.9372     | 0.0889    
037.png                                  | 25.4981    | 0.9473     | 0.1328    
022.jpg                                  | 14.1725    | 0.4542     | 0.1145    
036.jpg                                  | 18.4594    | 0.2276     | 0.2026    
008.png                                  | 24.8204    | 0.9087     | 0.1284    
034.png                                  | 20.2800    | 0.8586     | 0.1484    
020.jpg                                  | 22.0129    | 0.4833     | 0.0899    
021.jpg                                  | 21.0017    | 0.4454     | 0.1254    
035.png                                  | 20.2038    | 0.9090     | 0.2810    
009.png                                  | 23.1120    | 0.9441     | 0.0840    
019.png                                  | 27.0761    | 0.9564     | 0.2221    
031.jpg                                  | 26.9332    | 0.9346     | 0.0463    
030.jpg                                  | 16.2767    | 0.4202     | 0.1251    
024.jpg                                  | 20.4817    | 0.6438     | 0.0883    
018.png                                  | 16.3299    | 0.8914     | 0.4182    
032.png                                  | 19.5851    | 0.9173     | 0.1663    
026.jpg                                  | 16.5165    | 0.6100     | 0.1459    
033.png                                  | 13.6285    | 0.7849     | 0.2069    
027.png                                  | 17.0050    | 0.8571     | 0.3990    
