serial,ref_file,inp_file,mask_file,psnr,ssim,lpips,masked_psnr,masked_ssim,niqe,brisque,piqe,norm_psnr,norm_ssim,norm_lpips,norm_masked_psnr,norm_masked_ssim,norm_niqe,norm_brisque,norm_piqe,combined_metric
0001,0001_grass.jpg,0001_grass_bench_inpainted.jpg,0001_mask_bench.png,31.18,0.9449,0.0186,23.31,0.7487,5.028,2.5273,36.4026,0.3358859255347241,0.6490663232453316,0.8058761804826864,0.3554502369668246,0.6041098089580993,0.9346608706464093,0.9743118217072729,0.7335810158691433,0.35816568585254843
0002,0002_grass.jpg,0002_grass_tree_inpainted.jpg,0002_mask_tree.png,35.84,0.971,0.0147,25.06,0.7273,4.8476,2.408,39.2846,0.4589384737259045,0.8171281390856409,0.8467995802728226,0.4072867298578199,0.5697543746989885,0.9432879503034303,0.9755748449805676,0.6818798279258174,0.4245732386168736
0003,0003_grass.jpg,0003_grass_giraffe_inpainted.jpg,0003_mask_giraffe.png,34.61,0.9688,0.0131,23.72,0.705,4.9905,2.1798,38.3376,0.4264589384737259,0.8029620090148103,0.863588667366212,0.3675947867298578,0.5339540857280461,0.9364541937458454,0.9779907872351012,0.6988683862125382,0.41860192297094967
0004,0004_grass.jpg,0004_grass_plane_inpainted.jpg,0004_mask_plane.png,39.64,0.9873,0.0056,26.6,0.8069,4.8514,2.4909,37.3648,0.5592817533667811,0.9220862846104314,0.9422875131164744,0.4529028436018958,0.6975437469898859,0.9431062268960209,0.9746971867294685,0.7163197795613472,0.4847311102187374
0005,0005_grass.jpg,0005_grass_car_inpainted.jpg,0005_mask_car.png,32.95,0.9616,0.0228,23.62,0.7549,4.7975,2.1189,37.2368,0.38262476894639563,0.756600128783001,0.7618048268625394,0.364632701421801,0.6140632525284957,0.945683829964277,0.9786355325606977,0.7186160155282957,0.38020594491838716
0006,0006_grass.jpg,0006_grass_book_inpainted.jpg,0006_mask_book.png,36.19,0.98,0.008,25.65,0.8291,4.8835,2.3763,37.1264,0.4681806179033535,0.8750804893754026,0.9171038824763904,0.4247630331753554,0.7331834965484025,0.9415711423229035,0.9759104513323148,0.7205965190497889,0.45207299795102923
0007,0007_grass.jpg,0007_grass_ronaldo_inpainted.jpg,0007_mask_ronaldo.png,33.08,0.956,0.0085,22.54,0.6262,5.0447,2.3312,38.7882,0.38605756535516234,0.7205408886027045,0.9118572927597063,0.3326421800947867,0.40744902873655475,0.9338622440927937,0.9763879228295956,0.6907849180351395,0.4036911493435146
0008,0008_grass.jpg,0008_grass_mug_inpainted.jpg,0008_mask_mug.png,31.74,0.955,0.0206,23.44,0.7305,4.8697,2.7877,38.9757,0.3506733562186427,0.7141017385705087,0.7848898216159498,0.3593009478672986,0.5748916358966126,0.9422310852234957,0.9715549796254125,0.6874212911304298,0.36993298328102026
0009,0009_empty_room.jpg,0009_empty_room_bench_inpainted.jpg,0009_mask_bench.png,26.26,0.9689,0.0423,16.27,0.7749,5.2274,30.7768,43.3508,0.20596778452601006,0.8036059240180298,0.5571878279118573,0.14691943127962084,0.6461711350136459,0.9251251739523406,0.6752357449349379,0.6089348694195188,0.3133523072911794
0010,0010_empty_room.jpg,0010_empty_room_tree_inpainted.jpg,0010_mask_tree.png,51.01,0.9984,0.0008,42.04,0.9899,5.0007,28.6313,45.802,0.8595194085027726,0.9935608499678042,0.9926547743966423,0.9102488151658767,0.9913308717290094,0.9359664098627988,0.6979500486470406,0.5649619506524539,0.5691470065734439
0011,0011_empty_room.jpg,0011_empty_room_giraffe_inpainted.jpg,0011_mask_giraffe.png,55.83,0.9987,0.0006,44.67,0.9874,5.0579,29.6384,45.3925,0.9867969368893583,0.9954925949774635,0.9947534102833159,0.9881516587677726,0.9873173864183656,0.9332309943617921,0.6872879301345918,0.5723081118123402,0.5954085884300275
0012,0012_empty_room.jpg,0012_empty_room_plane_inpainted.jpg,0012_mask_plane.png,51.81,0.9985,0.001,41.15,0.9886,5.0418,29.2678,45.2062,0.8806443094797994,0.9942047649710245,0.9905561385099685,0.8838862559241706,0.9892438593674748,0.9340009277458167,0.691211454234198,0.5756502115048597,0.5730810425921585
0013,0013_empty_room.jpg,0013_empty_room_car_inpainted.jpg,0013_mask_car.png,36.06,0.9876,0.0061,25.27,0.8878,4.9973,29.769,45.2201,0.4647478214945868,0.9240180296200906,0.9370409233997902,0.41350710900473936,0.8274201316423183,0.9361290044904811,0.685905274313198,0.575400854630324,0.4651613549028935
0014,0014_empty_room.jpg,0014_empty_room_book_inpainted.jpg,0014_mask_book.png,54.19,0.9988,0.0007,43.5,0.9891,5.1918,29.1665,44.706,0.9434908898864537,0.9961365099806829,0.993704092339979,0.9534952606635071,0.9900465564296035,0.926827635348072,0.6922839123866269,0.5846234711194509,0.586666298441423
0015,0015_empty_room.jpg,0015_empty_room_ronaldo_inpainted.jpg,0015_mask_ronaldo.png,25.11,0.95,0.0552,16.0,0.7109,5.1018,29.6387,48.8608,0.17560073937153417,0.68190598840953,0.4218258132214061,0.1389218009478673,0.5434259110611654,0.9311316107867188,0.687284754049244,0.5100890867797803,0.25586650820049406
0016,0016_empty_room.jpg,0016_empty_room_mug_inpainted.jpg,0016_mask_mug.png,43.1,0.9922,0.0046,35.19,0.9618,5.1646,27.4801,44.2932,0.6506469500924215,0.9536381197681907,0.9527806925498425,0.7073459715639809,0.9462192968373735,0.9281283923695297,0.7101377468215324,0.5920288321128601,0.5114131524820908
0017,0017_tablenwall.jpg,0017_tablenwall_bench_inpainted.jpg,0017_mask_bench.png,48.01,0.9909,0.0014,38.72,0.9315,4.0825,0.1009,25.2975,0.7803010298389226,0.9452672247263364,0.9863588667366212,0.8119075829383886,0.897575854872371,0.9798765237268602,1.0,0.9327992192797713,0.5423854242603761
0018,0018_tablenwall.jpg,0018_tablenwall_tree_inpainted.jpg,0018_mask_tree.png,51.3,0.9946,0.0006,41.32,0.9581,4.071,0.4563,25.5423,0.8671771851069447,0.969092079845461,0.9947534102833159,0.8889218009478673,0.9402793385776206,0.9804264761440207,0.9962373975580138,0.9284076679929822,0.5662045350471443
0019,0019_tablenwall.jpg,0019_tablenwall_giraffe_inpainted.jpg,0019_mask_giraffe.png,51.63,0.9958,0.0004,40.8,0.9696,4.0972,0.9098,26.6905,0.8758912067599685,0.9768190598840957,0.9968520461699896,0.8735189573459715,0.9587413710065821,0.9791735410718811,0.9914362152073083,0.907809713795714,0.5699124625628108
0020,0020_tablenwall.jpg,0020_tablenwall_plane_inpainted.jpg,0020_mask_plane.png,53.89,0.9974,0.0003,41.22,0.9622,4.0955,1.5029,26.1448,0.9355690520200687,0.9871216999356085,0.9979013641133264,0.8859597156398104,0.9468614544870767,0.9792548383857222,0.9851570944747761,0.9175992135391813,0.5841184232138007
0021,0021_tablenwall.jpg,0021_tablenwall_car_inpainted.jpg,0021_mask_car.png,49.72,0.9946,0.0009,38.53,0.948,4.0595,0.6625,25.8387,0.8254555056773172,0.969092079845461,0.9916054564533054,0.8062796208530806,0.9240648579226198,0.9809764285611811,0.9940543682289831,0.9230904465820169,0.5572306083952167
0022,0022_tablenwall.jpg,0022_tablenwall_book_inpainted.jpg,0022_mask_book.png,36.68,0.9759,0.0065,25.37,0.7575,3.9725,2.1063,26.3065,0.4811196197517824,0.8486799742434001,0.9328436516264428,0.4164691943127962,0.6182372772515652,0.985136938151873,0.9787689281453037,0.9146984216965597,0.45252864912432506
0023,0023_tablenwall.jpg,0023_tablenwall_ronaldo_inpainted.jpg,0023_mask_ronaldo.png,35.64,0.9629,0.0103,26.82,0.784,4.2405,0.5305,25.3654,0.4536572484816478,0.7649710238248553,0.8929695697796433,0.45941943127962087,0.6607802215443892,0.972320655734569,0.9954518457819997,0.9315811378566791,0.42231956841722923
0024,0024_tablenwall.jpg,0024_tablenwall_mug_inpainted.jpg,0024_mask_mug.png,51.62,0.995,0.0005,41.02,0.9508,4.0874,0.5585,26.4507,0.8756271454977554,0.971667739858339,0.9958027282266527,0.8800355450236967,0.9285599614705411,0.9796421961752005,0.9951554111495418,0.9121115683650443,0.5686195227165494
0025,0025_wall-floor.jpg,0025_wall-floor_bench_inpainted.jpg,0025_mask_bench.png,48.94,0.9973,0.0004,40.91,0.9864,8.371,61.0784,75.7495,0.8048587272247161,0.986477784932389,0.9968520461699896,0.876777251184834,0.9857119922941083,0.7747920940753386,0.3544341856887711,0.027723461432205443,0.5576377116654189
0026,0026_wall-floor.jpg,0026_wall-floor_tree_inpainted.jpg,0026_mask_tree.png,52.47,0.9993,0.0001,41.89,0.9947,7.8137,63.0734,77.1141,0.8980723527858463,0.9993560849967805,1.0,0.9058056872037915,0.9990367635254456,0.8014432664304262,0.3333132181261308,0.0032434333033149213,0.5794856875565253
0027,0027_wall-floor.jpg,0027_wall-floor_giraffe_inpainted.jpg,0027_mask_giraffe.png,53.42,0.9994,0.0001,42.5,0.9947,7.4188,63.2563,77.1141,0.9231581726960656,1.0,1.0,0.9238744075829384,0.9990367635254456,0.8203281542162221,0.3313768647591097,0.0032434333033149213,0.5846316345392131
0028,0028_wall-floor.jpg,0028_wall-floor_plane_inpainted.jpg,0028_mask_plane.png,56.33,0.9994,0.0001,45.07,0.9953,7.515,63.8762,77.2949,1.0,1.0,1.0,1.0,1.0,0.8157276826918018,0.32481401373551044,0.0,0.6
0029,0029_wall-floor.jpg,0029_wall-floor_car_inpainted.jpg,0029_mask_car.png,53.9,0.9993,0.0002,43.78,0.9953,8.5924,63.0899,77.1141,0.9358331132822815,0.9993560849967805,0.9989506820566632,0.9617890995260664,1.0,0.7642043144962675,0.33313853343200367,0.0032434333033149213,0.5868279760671451
0030,0030_wall-floor.jpg,0030_wall-floor_book_inpainted.jpg,0030_mask_book.png,43.12,0.9849,0.0045,33.18,0.8773,9.0483,65.3288,62.8707,0.651175072616847,0.9066323245331619,0.9538300104931794,0.6478080568720379,0.8105634933376142,0.7424022878020554,0.30943540848163,0.2587606783942135,0.5023274815286376
0031,0031_wall-floor.jpg,0031_wall-floor_ronaldo_inpainted.jpg,0031_mask_ronaldo.png,52.41,0.9992,0.0001,42.53,0.9947,7.8768,62.6904,77.1141,0.8964879852125692,0.9987121699935609,1.0,0.9247630331753555,0.9990367635254456,0.7984257014284417,0.3373680204201114,0.0032434333033149213,0.579040031041226
0032,0032_wall-floor.jpg,0032_wall-floor_mug_inpainted.jpg,0032_mask_mug.png,43.5,0.9891,0.0032,34.27,0.9212,8.1092,63.1759,68.6243,0.6612094005809348,0.933676754668384,0.9674711437565583,0.6800947867298579,0.8810402953925188,0.7873118804068691,0.3322280556323109,0.1555448716798759,0.5124714598011754
