serial,ref_file,inp_file,mask_file,psnr,ssim,lpips,masked_psnr,masked_ssim,niqe,piqe,brisque,norm_psnr,norm_ssim,norm_lpips,norm_masked_psnr,norm_masked_ssim,norm_niqe,norm_brisque,norm_piqe,combined_metric
0001,0001_grass.jpg,0001_grass_bench_inpainted.png,0001_mask_bench.png,34.38,0.9686,0.0138,25.75,0.8736,4.8199,34.6442,,0.47085889570552153,0.7161484453360082,0.8149717514124294,0.45503922751961373,0.8409299881781164,0.8799776476590784,,0.6867254750419743,0.4003958184907918
0002,0002_grass.jpg,0002_grass_tree_inpainted.png,0002_mask_tree.png,34.79,0.97,0.0143,23.43,0.7789,4.9178,36.2848,,0.48657975460122693,0.7301905717151451,0.8079096045197741,0.38503319251659623,0.7165375016419283,0.868084744527321,,0.6530927697678758,0.40493598616722926
0003,0003_grass.jpg,0003_grass_giraffe_inpainted.png,0003_mask_giraffe.png,34.56,0.9701,0.0173,22.58,0.7651,4.7271,35.4544,,0.4777607361963191,0.7311935807422263,0.7655367231638419,0.3593844296922148,0.6984106134244056,0.8912510022109382,,0.6701161748999076,0.3948982080204775
0004,0004_grass.jpg,0004_grass_plane_inpainted.png,0004_mask_plane.png,38.19,0.9809,0.0051,33.48,0.9363,4.9792,35.3648,,0.616947852760736,0.8395185556670008,0.9378531073446328,0.6882920941460469,0.9232891107316432,0.8606258655458103,,0.6719529970336142,0.4788639031544739
0005,0005_grass.jpg,0005_grass_car_inpainted.png,0005_mask_car.png,34.17,0.9638,0.0226,23.8,0.783,4.8803,36.0501,,0.4628067484662577,0.6680040120361082,0.6906779661016951,0.3961979480989741,0.7219230264022067,0.872640248791273,,0.6579041777453419,0.36429774532081216
0006,0006_grass.jpg,0006_grass_book_inpainted.png,0006_mask_book.png,36.62,0.9743,0.0094,27.94,0.8683,4.8104,35.5321,,0.5567484662576686,0.7733199598796394,0.8771186440677967,0.5211225105612554,0.833968212268488,0.8811317087392796,,0.6685233057058338,0.44143741404102094
0007,0007_grass.jpg,0007_grass_ronaldo_inpainted.png,0007_mask_ronaldo.png,32.9,0.9616,0.0245,20.84,0.6822,4.8271,36.6756,,0.4141104294478527,0.645937813440321,0.6638418079096046,0.3068799034399517,0.5895179298568238,0.8791029908403996,,0.6450812732293424,0.3447780101595556
0008,0008_grass.jpg,0008_grass_mug_inpainted.png,0008_mask_mug.png,30.92,0.9587,0.026,20.86,0.7317,4.7628,35.9318,,0.3381901840490798,0.6168505516549648,0.6426553672316385,0.30748340374170186,0.654538289767503,0.8869141621516559,,0.6603293569687515,0.3195392205871366
0009,0009_empty_room.jpg,0009_empty_room_bench_inpainted.png,0009_mask_bench.png,32.84,0.9843,0.0174,19.61,0.8698,4.7577,42.9517,26.367,0.41180981595092037,0.8736208625877627,0.7641242937853108,0.26976463488231744,0.8359385262051754,0.8875337107315534,0.5987818752541567,0.5164196728570579,0.4099109944647988
0010,0010_empty_room.jpg,0010_empty_room_tree_inpainted.png,0010_mask_tree.png,39.76,0.9918,0.0113,29.61,0.9675,4.7303,43.5772,27.0907,0.6771472392638036,0.9488465396188567,0.8502824858757063,0.5715147857573928,0.9642716406147378,0.890862265847081,0.5877596587179382,0.5035967683410586,0.4952552529516733
0011,0011_empty_room.jpg,0011_empty_room_giraffe_inpainted.png,0011_mask_giraffe.png,43.95,0.9939,0.003,37.82,0.987,4.8887,43.2292,27.2928,0.8378067484662578,0.9699097291875627,0.9675141242937854,0.8192516596258298,0.9898857217916721,0.8716198158361478,0.5846816015644634,0.5107308543067944,0.5550461203895212
0012,0012_empty_room.jpg,0012_empty_room_plane_inpainted.png,0012_mask_plane.png,44.05,0.9939,0.0028,39.14,0.9895,4.9875,44.8217,27.5753,0.8416411042944785,0.9699097291875627,0.9703389830508475,0.8590826795413398,0.9931695783528174,0.8596175806020556,0.580379022911041,0.47808421091474157,0.5563779633065777
0013,0013_empty_room.jpg,0013_empty_room_car_inpainted.png,0013_mask_car.png,37.76,0.9857,0.0191,25.13,0.8653,4.9101,43.7648,25.9932,0.6004601226993864,0.8876629889669009,0.7401129943502825,0.43633071816535907,0.8300275843951134,0.8690201414028524,0.6044749864068976,0.4997509219986101,0.4456472212033139
0014,0014_empty_room.jpg,0014_empty_room_book_inpainted.png,0014_mask_book.png,44.14,0.9937,0.0037,39.98,0.9842,5.0542,44.3593,27.3823,0.8450920245398773,0.9679037111334003,0.9576271186440679,0.8844296922148459,0.9862078024431891,0.8515148570179063,0.5833184837255915,0.48756352514047807,0.5541245708634691
0015,0015_empty_room.jpg,0015_empty_room_ronaldo_inpainted.png,0015_mask_ronaldo.png,30.36,0.9721,0.0256,18.51,0.7929,4.5718,45.8836,26.9849,0.3167177914110429,0.7512537612838511,0.6483050847457628,0.2365721182860592,0.7349270983843427,0.9101168638693847,0.5893710315375209,0.4563149985957331,0.3432553274881313
0016,0016_empty_room.jpg,0016_empty_room_mug_inpainted.png,0016_mask_mug.png,40.83,0.9904,0.0114,32.39,0.9617,4.8422,43.7699,25.2178,0.7181748466257668,0.9348044132397185,0.8488700564971752,0.6554013277006638,0.9566530933928804,0.8772686411234482,0.6162846129126098,0.49964637073876744,0.5003698632725321
0017,0017_tablenwall.jpg,0017_tablenwall_bench_inpainted.png,0017_mask_bench.png,38.01,0.988,0.0118,33.27,0.9264,4.0566,19.9176,,0.6100460122699386,0.9107321965897691,0.8432203389830509,0.6819553409776705,0.9102850387495074,0.9727034184503999,,0.9886244129241758,0.4727997095685517
0018,0018_tablenwall.jpg,0018_tablenwall_tree_inpainted.png,0018_mask_tree.png,43.44,0.9918,0.0027,38.72,0.9693,4.0,21.7214,,0.8182515337423312,0.9488465396188567,0.9717514124293787,0.8464091732045865,0.9666360173387625,0.9795791928861246,,0.9516460673351114,0.5477698971581133
0019,0019_tablenwall.jpg,0019_tablenwall_giraffe_inpainted.png,0019_mask_giraffe.png,43.99,0.992,0.0024,41.32,0.9794,3.9996,19.3627,,0.8393404907975461,0.9508525576730189,0.9759887005649719,0.9248642124321061,0.9799027978457899,0.9796277849316067,,1.0,0.5532363498071073
0020,0020_tablenwall.jpg,0020_tablenwall_plane_inpainted.png,0020_mask_plane.png,43.8,0.9925,0.0021,41.1,0.9778,3.9789,21.2925,0.923,0.8320552147239263,0.9558676028084256,0.980225988700565,0.9182257091128545,0.9778011296466569,0.9821424232853084,0.986303331033548,0.9604386232854106,0.5536297612465834
0021,0021_tablenwall.jpg,0021_tablenwall_car_inpainted.png,0021_mask_car.png,39.99,0.9903,0.0087,27.84,0.9461,4.043,21.1313,0.0237,0.6859662576687118,0.9338014042126375,0.8870056497175142,0.5181050090525046,0.9361618284513333,0.9743555479967931,1.0,0.9637432631063206,0.5013546623197727
0022,0022_tablenwall.jpg,0022_tablenwall_book_inpainted.png,0022_mask_book.png,33.79,0.9758,0.0199,20.52,0.7251,3.9567,20.1447,2.8514,0.44823619631901834,0.7883650952858575,0.728813559322034,0.2972238986119493,0.6458689084460789,0.9848392818095679,0.9569330914751069,0.9839688068241224,0.39308297018538196
