serial,ref_file,inp_file,mask_file,psnr,ssim,lpips,masked_psnr,masked_ssim,niqe,brisque,piqe,norm_psnr,norm_ssim,norm_lpips,norm_masked_psnr,norm_masked_ssim,norm_niqe,norm_brisque,norm_piqe,combined_metric
0001,0001_grass.jpg,inpainted_result_0001.png,0001_mask_bench.png,32.96,0.9719,0.0239,45.68,0.996,4.8917,1.7202,36.4195,0.799939283545841,0.9787284329945639,0.9809782608695652,0.8870932034536196,0.9967178401270513,0.9135006395692931,0.9862100210344641,0.7021012495596495,0.5519291954819939
0002,0002_grass.jpg,inpainted_result_0002.png,0002_mask_tree.png,9.76,0.492,0.5829,12.5,0.6353,3.999,0.4525,26.561,0.09562841530054644,0.41160482155518785,0.3480525362318841,0.15253486827540402,0.6148226574907358,0.9561083640390233,0.9998845801197347,0.906392854922602,0.17105715461752366
0003,0003_grass.jpg,inpainted_result_0003.png,0003_mask_giraffe.png,9.77,0.4925,0.5808,9.39,0.5309,4.1016,,27.3741,0.09593199757134181,0.41219569841645,0.3504302536231884,0.08368386096967013,0.50428798305982,0.9512113633326332,,0.8895434859191413,0.17171158992219607
0004,0004_grass.jpg,inpainted_result_0004.png,0004_mask_plane.png,9.65,0.4952,0.587,14.11,0.7376,4.3905,,26.4655,0.09228901032179722,0.4153864334672654,0.34341032608695654,0.18817799424396722,0.7231339332980413,0.9374224402909563,,0.9083718424270055,0.17021715397520384
0005,0005_grass.jpg,inpainted_result_0005.png,0005_mask_car.png,9.77,0.4917,0.5802,12.76,0.6441,4.1107,,27.3339,0.09593199757134181,0.4112502954384306,0.3511096014492753,0.1582909010405136,0.6241397564849127,0.9507770289619885,,0.8903765256853928,0.17165837889180954
0006,0006_grass.jpg,inpainted_result_0006.png,0006_mask_book.png,9.76,0.4924,0.5829,14.24,0.7171,3.8739,,27.6466,0.09562841530054644,0.4120775230441976,0.3480525362318841,0.191056010626522,0.7014293276866066,0.9620792684090953,,0.8838966367573617,0.1711516949153256
0007,0007_grass.jpg,inpainted_result_0007.png,0007_mask_ronaldo.png,9.72,0.4945,0.587,8.81,0.4375,4.4266,,25.9432,0.09441408621736493,0.4145592058614984,0.34341032608695654,0.07084348018596413,0.4053996823716252,0.9356994215238931,,0.9191951426736017,0.17047672363316396
0008,0008_grass.jpg,inpainted_result_0008.png,0008_mask_mug.png,10.87,0.5305,0.6051,10.3,0.6466,7.4274,59.4247,69.0433,0.1293260473588342,0.45710233987237053,0.3229166666666667,0.1038299756475537,0.6267866596082583,0.7924740831249165,0.36375707890620784,0.02605839567316645,0.18186901077957426
0009,0009_tablenwall.jpg,inpainted_result_0009.png,0009_mask_bench.png,18.57,0.76,0.2536,26.24,0.9528,7.1501,59.7279,66.5144,0.36308439587128116,0.7283148191916805,0.7209012681159421,0.4567190613238875,0.950979354155638,0.8057093491666506,0.3604864894018662,0.07846322813270616,0.36246009663578077
0010,0010_tablenwall.jpg,inpainted_result_0010.png,0010_mask_tree.png,18.56,0.7601,0.2534,30.27,0.9582,7.7276,61.0593,69.0261,0.36278081360048575,0.7284329945639328,0.7211277173913044,0.5459375691830861,0.9566966649020646,0.7781458217988125,0.34612480448735233,0.026414820647781584,0.36246830511114464
0011,0011_tablenwall.jpg,inpainted_result_0011.png,0011_mask_giraffe.png,18.57,0.7606,0.2536,21.21,0.8371,7.6024,62.3398,70.3008,0.36308439587128116,0.729023871425195,0.7209012681159421,0.3453619659065752,0.8284806776071996,0.7841214990740564,0.3323121730219514,0.0,0.36260190708248363
0012,0012_tablenwall.jpg,inpainted_result_0012.png,0012_mask_plane.png,9.71,0.4934,0.5778,13.85,0.736,4.2001,1.6256,38.1361,0.09411050394656954,0.4132592767667218,0.35382699275362317,0.1824219614788576,0.7214399152991,0.9465100517382921,0.9872304622188662,0.6665292081977745,0.1722393546933829
0013,0013_tablenwall.jpg,inpainted_result_0013.png,0013_mask_car.png,18.56,0.76,0.252,14.91,0.5045,7.6042,61.7634,70.2139,0.36278081360048575,0.7283148191916805,0.7227128623188406,0.20588886429045827,0.4763366860772895,0.7840355867809619,0.33852974488970394,0.0018007750170959652,0.3627616990222014
