serial,ref_file,inp_file,mask_file,psnr,ssim,lpips,masked_psnr,masked_ssim,niqe,brisque,piqe,norm_psnr,norm_ssim,norm_lpips,norm_masked_psnr,norm_masked_ssim,norm_niqe,norm_brisque,norm_piqe,combined_metric
0001,0001_grass.jpg,0001_grass_bench_inpainted.png,0001_mask_bench.png,31.92,0.9784,0.0163,20.76,0.8438,4.6985,1.7303,36.564,0.31985624438454635,0.7500000000000007,0.7771587743732591,0.3541598158500494,0.8041592067208374,0.950368847888087,0.9885567519163123,0.6796901979073584,0.3694030037515612
0002,0002_grass.jpg,0002_grass_tree_inpainted.png,0002_mask_tree.png,36.72,0.9841,0.0129,23.21,0.7655,4.8649,2.508,37.2915,0.46361185983827496,0.8191747572815532,0.8245125348189414,0.43472541926997704,0.6963228205481338,0.9437407389704126,0.980970515419267,0.6667402425869293,0.42145983038775386
0003,0003_grass.jpg,0003_grass_giraffe_inpainted.png,0003_mask_giraffe.png,37.43,0.9824,0.0115,23.4,0.7278,4.1192,2.4324,37.8802,0.48487571129080564,0.798543689320389,0.8440111420612814,0.44097336402499177,0.6444015975760915,0.9734437487054475,0.9817079713523732,0.656261014137257,0.42548610853449526
0004,0004_grass.jpg,0004_grass_plane_inpainted.png,0004_mask_plane.png,44.52,0.996,0.0023,27.53,0.898,4.6646,2.5181,37.8072,0.6972147349505842,0.9635922330097088,0.9721448467966574,0.5767839526471555,0.8788045723729514,0.9517191657505218,0.9808719928673574,0.6575604598257674,0.5265903629513901
0005,0005_grass.jpg,0005_grass_car_inpainted.png,0005_mask_car.png,36.4,0.9781,0.0175,24.21,0.7797,4.8061,2.4244,36.4081,0.45402815214135966,0.7463592233009706,0.7604456824512534,0.46760933903321283,0.7158793554606803,0.9460828832273792,0.9817860090172521,0.6824653154804923,0.39216661157871674
0006,0006_grass.jpg,0006_grass_book_inpainted.png,0006_mask_book.png,37.12,0.9884,0.0065,24.31,0.8577,4.7676,2.1933,38.0145,0.47559149445941895,0.8713592233009703,0.9136490250696377,0.47089773100953636,0.8233025754028371,0.9476164300622979,0.984040322061443,0.6538703900829154,0.45211994856600535
0007,0007_grass.jpg,0007_grass_ronaldo_inpainted.png,0007_mask_ronaldo.png,36.51,0.9749,0.0176,23.18,0.6716,4.4565,2.9894,37.5852,0.4573225516621743,0.7075242718446602,0.7590529247910862,0.43373890167707996,0.567001790386999,0.960008285136147,0.976274598935176,0.6615121987689087,0.3847799496595841
0008,0008_grass.jpg,0008_grass_mug_inpainted.png,0008_mask_mug.png,28.27,0.9704,0.0329,17.44,0.7092,4.8437,2.0192,36.6593,0.2105420784666068,0.6529126213592239,0.5459610027855153,0.24498520223610662,0.6187852912821926,0.9445851855392507,0.9857386167433712,0.6779937982619468,0.2818831405222692
0009,0009_empty_room.jpg,0009_empty_room_bench_inpainted.png,0009_mask_bench.png,31.36,0.987,0.0163,17.76,0.84,4.9744,29.9297,44.8582,0.3030847559149446,0.8543689320388349,0.7771587743732591,0.2555080565603421,0.7989257678005784,0.9393790927775919,0.713479836042866,0.5320482468163581,0.3869224924654077
0010,0010_empty_room.jpg,0010_empty_room_tree_inpainted.png,0010_mask_tree.png,47.62,0.9982,0.0024,35.88,0.9838,5.0011,28.7984,45.0886,0.7900569032644504,0.990291262135922,0.9707520891364901,0.8513646826701744,0.9969701143093238,0.9383155680894795,0.7245153373275611,0.5279469826159088,0.5502200509073725
0011,0011_empty_room.jpg,0011_empty_room_giraffe_inpainted.png,0011_mask_giraffe.png,51.25,0.9988,0.0018,36.92,0.9809,5.0457,29.644,45.7664,0.8987720874513327,0.9975728155339808,0.979108635097493,0.8855639592239396,0.9929761740807052,0.9365390437040932,0.7162667561498556,0.515881718401219,0.5750907076165612
0012,0012_empty_room.jpg,0012_empty_room_plane_inpainted.png,0012_mask_plane.png,51.09,0.9988,0.002,36.35,0.9856,4.8908,29.8555,45.602,0.8939802336028753,0.9975728155339808,0.9763231197771587,0.8668201249588952,0.9994491116926044,0.9427090801905582,0.7142036353846183,0.5188081412942479,0.573575233782803
0013,0013_empty_room.jpg,0013_empty_room_car_inpainted.png,0013_mask_car.png,39.0,0.9907,0.0128,25.37,0.8644,5.0373,29.9224,42.0174,0.5318957771787961,0.8992718446601945,0.8259052924791086,0.5057546859585663,0.8325299545517145,0.9368736357408028,0.7135510454120682,0.5826162647878699,0.4514145828636199
0014,0014_empty_room.jpg,0014_empty_room_book_inpainted.png,0014_mask_book.png,48.77,0.9983,0.0036,35.89,0.9788,4.7215,29.2775,45.5613,0.8244983528002398,0.9915048543689317,0.9540389972144845,0.8516935218678067,0.9900840104668779,0.9494527030256681,0.7198418566721227,0.5195326267671571,0.5540084408767312
0015,0015_empty_room.jpg,0015_empty_room_ronaldo_inpainted.png,0015_mask_ronaldo.png,29.58,0.9751,0.0258,17.57,0.7784,4.9993,29.7107,44.7025,0.24977538185085355,0.7099514563106794,0.6448467966573815,0.24926011180532723,0.7140889684616444,0.93838726638306,0.7156161171189274,0.534819804264318,0.32091472696378287
0016,0016_empty_room.jpg,0016_empty_room_mug_inpainted.png,0016_mask_mug.png,41.74,0.9941,0.0087,31.19,0.9549,4.9815,27.7867,42.9099,0.6139562743336329,0.9405339805825241,0.883008356545961,0.6971390989805987,0.9571684340999862,0.9390962828418017,0.7343841755223158,0.5667292061988899,0.48749972229242355
0017,0017_tablenwall.jpg,0017_tablenwall_bench_inpainted.png,0017_mask_bench.png,38.88,0.9929,0.011,32.86,0.9176,3.9874,0.7714,25.1798,0.5283018867924529,0.9259708737864079,0.850974930362117,0.7520552449852023,0.9057980994353395,0.9786936570909612,0.997910541522866,0.882336082936676,0.46104953818819555
0018,0018_tablenwall.jpg,0018_tablenwall_tree_inpainted.png,0018_mask_tree.png,49.82,0.9973,0.0017,36.99,0.9684,4.0017,0.8472,28.347,0.8559448936807428,0.9793689320388346,0.9805013927576602,0.8878658336073662,0.9757609144745903,0.9781240539808487,0.9971711346481379,0.8259579406811943,0.5631630436954476
0019,0019_tablenwall.jpg,0019_tablenwall_giraffe_inpainted.png,0019_mask_giraffe.png,52.1,0.9976,0.0016,38.42,0.9761,4.1381,1.2518,26.5695,0.924228811021264,0.9830097087378646,0.9818941504178271,0.9348898388687933,0.986365514391957,0.9726909166228511,0.9932243797468847,0.8575985531651291,0.5778265340353911
0020,0020_tablenwall.jpg,0020_tablenwall_plane_inpainted.png,0020_mask_plane.png,54.63,0.9987,0.0009,38.13,0.9679,4.1423,1.8223,26.6489,1.0,0.9963592233009713,0.9916434540389971,0.9253535021374549,0.9750723040903456,0.9725236206044964,0.9876593187702044,0.8561851834710509,0.5976005354679936
0021,0021_tablenwall.jpg,0021_tablenwall_car_inpainted.png,0021_mask_car.png,47.28,0.9972,0.0019,33.25,0.9572,4.0674,1.2634,25.8731,0.779874213836478,0.9781553398058249,0.9777158774373258,0.7648799736928642,0.9603360418675114,0.9755070662651563,0.9931112251328102,0.8699949090210012,0.5471490862159256
