serial,ref_file,inp_file,mask_file,psnr,ssim,lpips,masked_psnr,masked_ssim,niqe,brisque,piqe,norm_psnr,norm_ssim,norm_lpips,norm_masked_psnr,norm_masked_ssim,norm_niqe,norm_brisque,norm_piqe,combined_metric
0001,0001_grass.jpg,0001_grass_bench_inpainted.png,0001_mask_bench.png,33.55,0.9779,0.0149,22.7,0.8475,4.6787,1.265,36.453,0.4230506155950751,0.7456575682382138,0.8005578800557881,0.42990654205607476,0.8061649541793947,0.9540258917732924,0.987249768387001,0.6604407564075923,0.3938532127778154
0002,0002_grass.jpg,0002_grass_tree_inpainted.png,0002_mask_tree.png,36.77,0.9832,0.013,23.43,0.7684,4.8435,1.8748,38.2571,0.5331737346101232,0.8114143920595535,0.8270571827057184,0.4551748009691935,0.6963343515690086,0.9478130725557758,0.9810072222307531,0.6286695947112049,0.43432906187507897
0003,0003_grass.jpg,0003_grass_giraffe_inpainted.png,0003_mask_giraffe.png,37.42,0.9818,0.0118,23.58,0.7348,4.1755,1.771,38.9621,0.5554035567715458,0.7940446650124076,0.8437935843793585,0.46036690896503973,0.6496806442654818,0.9729961019083307,0.9820698268404915,0.6162541692935711,0.4386483612326623
0004,0004_grass.jpg,0004_grass_plane_inpainted.png,0004_mask_plane.png,44.2,0.995,0.0021,28.23,0.9022,4.6883,1.8889,38.8315,0.7872777017783859,0.9578163771712164,0.9790794979079498,0.6213222568362756,0.8821160788669814,0.9536639799742138,0.9808628799860775,0.6185541048390222,0.5448347153715104
0005,0005_grass.jpg,0005_grass_car_inpainted.png,0005_mask_car.png,34.77,0.9766,0.0202,22.66,0.7747,4.8079,1.7614,38.3337,0.46477428180574565,0.7295285359801498,0.7266387726638773,0.4285219799238491,0.70508192168842,0.9491551621440257,0.9821681024113345,0.6273206279211471,0.3841883180899545
0006,0006_grass.jpg,0006_grass_book_inpainted.png,0006_mask_book.png,37.04,0.9875,0.0065,24.4,0.8594,4.72,1.6749,38.6766,0.542407660738714,0.8647642679900756,0.9177126917712691,0.48875043267566626,0.8226881421827271,0.9524689170543396,0.9830536062527832,0.6212819763244001,0.46497692410001173
0007,0007_grass.jpg,0007_grass_ronaldo_inpainted.png,0007_mask_ronaldo.png,36.47,0.9746,0.0181,23.28,0.6802,4.4469,2.1785,39.0719,0.5229138166894665,0.704714640198512,0.7559274755927475,0.44998269297334725,0.5738683698972508,0.9627645537552119,0.9778982335989844,0.6143205328242716,0.3967111864961452
0008,0008_grass.jpg,0008_grass_mug_inpainted.png,0008_mask_mug.png,28.35,0.9702,0.0319,17.55,0.7167,4.8134,1.4105,37.9539,0.24521203830369362,0.6501240694789082,0.5634588563458857,0.251644167532018,0.6245487364620939,0.9489478168424703,0.9857602792664137,0.6340091081674128,0.29175899282569745
0009,0009_empty_room.jpg,0009_empty_room_bench_inpainted.png,0009_mask_bench.png,31.2,0.9863,0.0167,17.65,0.8435,4.9454,28.8907,45.7014,0.3426812585499316,0.8498759305210918,0.7754532775453278,0.2551055728625822,0.8006109414051653,0.9439715296051392,0.7044444103209824,0.49757150756724583,0.3936020933232702
0010,0010_empty_room.jpg,0010_empty_room_tree_inpainted.png,0010_mask_tree.png,46.36,0.9973,0.0032,36.3,0.9846,5.056,28.0116,46.6383,0.8611491108071134,0.9863523573200994,0.9637377963737798,0.900657667012807,0.9965287420161067,0.9398020040865873,0.7134437909801452,0.48107219966117337,0.5622478529001985
0011,0011_empty_room.jpg,0011_empty_room_giraffe_inpainted.png,0011_mask_giraffe.png,48.86,0.9978,0.0025,38.45,0.9825,5.0375,28.6339,47.1209,0.9466484268125854,0.9925558312655095,0.9735006973500697,0.9750778816199377,0.9936128853096363,0.9404994382827284,0.707073281841029,0.47257335667315914,0.582540991085633
0012,0012_empty_room.jpg,0012_empty_room_plane_inpainted.png,0012_mask_plane.png,48.62,0.9979,0.0025,37.44,0.9871,5.0168,29.0325,46.8598,0.9384404924760601,0.9937965260545912,0.9735006973500697,0.940117687781239,1.0,0.9412798105994918,0.7029927982433242,0.47717146671081045,0.5811475431761443
0013,0013_empty_room.jpg,0013_empty_room_car_inpainted.png,0013_mask_car.png,37.25,0.9888,0.0152,23.79,0.8504,5.0535,28.8161,43.6254,0.5495896032831737,0.8808933002481397,0.796373779637378,0.46763586015922465,0.810191613440711,0.9398962519509307,0.7052080934027405,0.5341309730523632,0.4453713366337382
0014,0014_empty_room.jpg,0014_empty_room_book_inpainted.png,0014_mask_book.png,47.29,0.9974,0.0038,36.68,0.9804,4.9055,28.4455,46.6979,0.892954856361149,0.9875930521091811,0.9553695955369597,0.9138110072689511,0.9906970286031659,0.9454757255200597,0.7090019399188202,0.4800226119237394,0.5671835008014579
0015,0015_empty_room.jpg,0015_empty_room_ronaldo_inpainted.png,0015_mask_ronaldo.png,29.58,0.9743,0.0266,17.6,0.7801,4.9617,28.73,44.8105,0.2872777017783857,0.7009925558312667,0.6373779637377964,0.25337487019730015,0.7125798389336295,0.9433570335296202,0.7060895024287374,0.5132607309779834,0.32512964426948976
0016,0016_empty_room.jpg,0016_empty_room_mug_inpainted.png,0016_mask_mug.png,42.01,0.9937,0.0084,31.99,0.9597,5.0769,26.5641,43.5689,0.7123803009575922,0.9416873449131523,0.8912133891213389,0.7514710972654898,0.9619550124965288,0.9390140919406765,0.7282619043962962,0.5351259681390246,0.5090562069984166
0017,0017_tablenwall.jpg,0017_tablenwall_bench_inpainted.png,0017_mask_bench.png,38.46,0.9917,0.0122,32.58,0.9154,3.9857,0.1834,25.588,0.5909712722298222,0.9168734491315146,0.8382147838214784,0.7718933887158185,0.9004443210219384,0.9801513997692811,0.9983221493686305,0.8517791920992107,0.46921190103656296
0018,0018_tablenwall.jpg,0018_tablenwall_tree_inpainted.png,0018_mask_tree.png,48.12,0.9962,0.0026,36.87,0.9671,3.9952,0.1777,28.0927,0.9213406292749656,0.9727047146401988,0.9721059972105996,0.9203876773970231,0.9722299361288531,0.9797932578847762,0.9983805004888185,0.8076700913282215,0.5732302682251529
0019,0019_tablenwall.jpg,0019_tablenwall_giraffe_inpainted.png,0019_mask_giraffe.png,49.11,0.9965,0.0023,37.61,0.9749,4.0524,0.6747,27.716,0.9551983584131326,0.9764267990074453,0.9762900976290099,0.9460020768431983,0.9830602610386004,0.9776368667485995,0.9932926922899743,0.8143039789237146,0.5815830510099175
0020,0020_tablenwall.jpg,0020_tablenwall_plane_inpainted.png,0020_mask_plane.png,50.42,0.9976,0.0014,37.49,0.9673,4.123,1.1857,27.7653,1.0,0.990074441687346,0.98884239888424,0.9418483904465212,0.9725076367675647,0.9749753070595419,0.9880615655503175,0.8134357796711057,0.5957833681143172
0021,0021_tablenwall.jpg,0021_tablenwall_car_inpainted.png,0021_mask_car.png,40.01,0.9947,0.0083,26.08,0.9342,4.0368,0.6424,27.3243,0.6439808481532147,0.9540942928039712,0.8926080892608089,0.546902042229145,0.9265481810608165,0.9782249734221022,0.9936233486377061,0.821202024506817,0.4981366460435989
0022,0022_tablenwall.jpg,0022_tablenwall_book_inpainted.png,0022_mask_book.png,34.7,0.9798,0.0148,21.11,0.7166,3.9716,2.0439,27.566,0.4623803009575924,0.7692307692307698,0.8019525801952581,0.37487019730010385,0.6244098861427382,0.980682957724178,0.9792761389985105,0.8169455587998069,0.40671273007672404
0023,0023_tablenwall.jpg,0023_tablenwall_ronaldo_inpainted.png,0023_mask_ronaldo.png,35.49,0.9764,0.0146,24.4,0.8058,3.9231,1.5926,25.7063,0.48939808481532154,0.7270471464019863,0.8047419804741981,0.48875043267566626,0.7482643710080533,0.9825113662924398,0.9838961145319881,0.8496958661035993,0.4042374423383012
0024,0024_tablenwall.jpg,0024_tablenwall_mug_inpainted.png,0024_mask_mug.png,48.09,0.9961,0.0027,36.74,0.9565,4.0204,0.0195,27.331,0.9203146374829002,0.971464019851117,0.9707112970711298,0.9158878504672897,0.9575118022771453,0.9788432394121948,1.0,0.8210840339390182,0.5724979908810294
0025,0025_wall-floor.jpg,0025_wall-floor_bench_inpainted.png,0025_mask_bench.png,37.02,0.9934,0.0137,31.57,0.9535,7.0626,60.5612,69.2096,0.5417236662106704,0.9379652605459057,0.8172942817294282,0.7369331948771201,0.9533462926964732,0.8641548982500057,0.38023227840650253,0.08357958727956032,0.4593966416972009
0026,0026_wall-floor.jpg,0026_wall-floor_tree_inpainted.png,0026_mask_tree.png,48.48,0.9981,0.0019,37.89,0.9835,7.2177,62.5316,70.249,0.9336525307797536,0.9962779156327548,0.9818688981868898,0.9556940117687781,0.9950013885031936,0.8583077607461415,0.36006121749100417,0.06527519979149145,0.5823598689198797
0027,0027_wall-floor.jpg,0027_wall-floor_giraffe_inpainted.png,0027_mask_giraffe.png,48.45,0.9979,0.0029,37.27,0.9793,7.2959,62.3846,69.7433,0.9326265389876881,0.9937965260545912,0.9679218967921898,0.9342332987192801,0.9891696750902527,0.8553596875494801,0.3615660621695355,0.07418084608042376,0.5788689923668938
0028,0028_wall-floor.jpg,0028_wall-floor_plane_inpainted.png,0028_mask_plane.png,47.83,0.9981,0.0022,34.74,0.9813,7.2977,63.2232,71.7114,0.911422708618331,0.9962779156327548,0.9776847977684799,0.8466597438560055,0.9919466814773673,0.8552918290871528,0.35298128157486597,0.03952155705284227,0.577077084403913
0029,0029_wall-floor.jpg,0029_wall-floor_car_inpainted.png,0029_mask_car.png,41.26,0.9966,0.0148,28.68,0.9675,7.2433,62.6688,73.9556,0.6867305061559507,0.9776674937965272,0.8019525801952581,0.6368985808238145,0.9727853374062762,0.8573426626152651,0.35865669579104154,0.0,0.4932701160295472
0030,0030_wall-floor.jpg,0030_wall-floor_book_inpainted.png,0030_mask_book.png,33.71,0.983,0.0295,21.7,0.8044,6.8021,67.8436,67.185,0.42852257181942544,0.80893300248139,0.5969316596931661,0.39529248875043266,0.7463204665370731,0.8739755257145873,0.3056820682912847,0.11923387139380323,0.3668774467987963
0031,0031_wall-floor.jpg,0031_wall-floor_ronaldo_inpainted.png,0031_mask_ronaldo.png,46.9,0.9976,0.0023,36.47,0.983,7.2297,62.0574,72.0138,0.8796169630642954,0.990074441687346,0.9762900976290099,0.9065420560747662,0.9943071369064149,0.8578553709972931,0.36491562120909654,0.03419613202264011,0.5691963004761302
0032,0032_wall-floor.jpg,0032_wall-floor_mug_inpainted.png,0032_mask_mug.png,38.87,0.9888,0.0168,27.63,0.8821,6.6115,64.8207,66.5514,0.6049931600547195,0.8808933002481397,0.7740585774058578,0.6005538248528903,0.8542071646764787,0.8811609828921276,0.33662761236429517,0.1303919047904171,0.45198900754174337
0033,0033_sunset.jpg,0033_sunset_bench_inpainted.png,0033_mask_bench.png,36.91,0.9883,0.0269,26.41,0.8959,18.5633,90.1345,31.0012,0.5379616963064294,0.8746898263027295,0.6331938633193863,0.558324679820007,0.8733685087475702,0.4305883328683771,0.07748926390573725,0.7564498575307921,0.409169077185709
0034,0034_sunset.jpg,0034_sunset_tree_inpainted.png,0034_mask_tree.png,40.1,0.9929,0.0152,26.75,0.9307,20.6745,95.0684,17.1714,0.6470588235294118,0.9317617866004969,0.796373779637378,0.5700934579439252,0.9216884198833657,0.3509978963876679,0.026980739011818626,1.0,0.4750388779534573
