serial,ref_file,inp_file,mask_file,psnr,ssim,lpips,masked_psnr,masked_ssim,niqe,brisque,piqe,norm_psnr,norm_ssim,norm_lpips,norm_masked_psnr,norm_masked_ssim,norm_niqe,norm_brisque,norm_piqe,combined_metric
0001,0001_grass.jpg,0001_grass_bench_inpainted.jpg,0001_mask_bench.png,32.48,0.924,0.025,23.95,0.819,4.6236,5.579,41.3384,0.4011931394481729,0.5125089349535389,0.651840490797546,0.3747240618101545,0.7803490136570561,0.9607809890651293,0.997398123173866,0.8622799654072714,0.31310851303985154
0002,0002_grass.jpg,0002_grass_tree_inpainted.jpg,0002_mask_tree.png,32.67,0.9249,0.0257,21.62,0.7083,4.5933,5.861,39.8433,0.40827740492170034,0.5189421015010729,0.6411042944785276,0.310430463576159,0.6403641881638847,0.9617503471133605,0.9944106261666599,0.8893866680204003,0.3136647601802601
0003,0003_grass.jpg,0003_grass_giraffe_inpainted.jpg,0003_mask_giraffe.png,34.74,0.927,0.0221,25.77,0.7122,4.7115,6.226,39.8943,0.4854586129753916,0.5339528234453187,0.696319018404908,0.4249448123620309,0.6452959028831564,0.9579688909648152,0.9905438303949217,0.8884620196134244,0.34314609096512366
0004,0004_grass.jpg,0004_grass_plane_inpainted.jpg,0004_mask_plane.png,35.87,0.9376,0.0184,29.75,0.8729,4.7464,5.5253,40.2848,0.5275913497390007,0.609721229449607,0.7530674846625767,0.5347682119205298,0.8485078401618614,0.9568523696485357,0.9979670188805573,0.881382113673737,0.3780760127702369
0005,0005_grass.jpg,0005_grass_car_inpainted.jpg,0005_mask_car.png,32.86,0.9213,0.032,23.24,0.753,4.9489,5.7892,40.6754,0.4153616703952275,0.49320943531093675,0.5444785276073619,0.3551324503311258,0.6968892261001517,0.9503739866529314,0.9951712725677855,0.8743003946979572,0.29060992666270524
0006,0006_grass.jpg,0006_grass_book_inpainted.jpg,0006_mask_book.png,33.77,0.93,0.0207,24.5,0.8123,4.6453,5.5333,40.5793,0.4492915734526474,0.5553967119370986,0.7177914110429449,0.38990066225165565,0.7718765806777946,0.9600867623441189,0.9978822671924097,0.8760427223824744,0.3444959392865382
0007,0007_grass.jpg,0007_grass_ronaldo_inpainted.jpg,0007_mask_ronaldo.png,33.09,0.9191,0.0214,22.44,0.6376,4.6822,5.3334,40.1246,0.4239373601789711,0.4774839170836317,0.7070552147239263,0.3330573951434879,0.55096105209914,0.9589062569982532,1.0,0.8842865974932963,0.3216952983973058
0008,0008_grass.jpg,0008_grass_mug_inpainted.jpg,0008_mask_mug.png,32.64,0.9189,0.0315,24.16,0.721,4.714,6.4399,40.7433,0.4071588366890381,0.47605432451751317,0.5521472392638037,0.3805187637969095,0.6564238745574101,0.9578889109278325,0.9882777821330729,0.8730693431914149,0.287072080094071
0009,0009_empty_room.jpg,0009_empty_room_bench_inpainted.jpg,0009_mask_bench.png,29.69,0.9617,0.0255,16.5,0.8164,4.9253,30.725,42.2575,0.2971662938105892,0.7819871336669052,0.6441717791411044,0.16915011037527594,0.7770612038442084,0.9511289982020488,0.7310023794036448,0.8456163506846931,0.3446650413237197
0010,0010_empty_room.jpg,0010_empty_room_tree_inpainted.jpg,0010_mask_tree.png,39.7,0.9741,0.0088,41.47,0.9863,4.7687,30.9962,42.9512,0.6703952274422075,0.8706218727662616,0.9003067484662576,0.858167770419426,0.9919069296914516,0.9561389477186495,0.7281292971754381,0.8330393193137295,0.4882647697349453
0011,0011_empty_room.jpg,0011_empty_room_giraffe_inpainted.jpg,0011_mask_giraffe.png,39.84,0.9745,0.0083,44.76,0.987,4.7949,31.4724,43.0452,0.6756152125279644,0.8734810578984994,0.9079754601226994,0.9489514348785871,0.9927921092564491,0.9553007569310701,0.723084452938447,0.8313350653871466,0.49141434610983264
0012,0012_empty_room.jpg,0012_empty_room_plane_inpainted.jpg,0012_mask_plane.png,39.81,0.9745,0.0083,42.58,0.9873,4.7969,31.4737,43.0435,0.6744966442953021,0.8734810578984994,0.9079754601226994,0.8887969094922737,0.9931714719271623,0.9552367729014838,0.7230706807891228,0.8313658870007125,0.4911906324633001
0013,0013_empty_room.jpg,0013_empty_room_car_inpainted.jpg,0013_mask_car.png,37.11,0.9676,0.0121,26.6,0.8656,4.7815,31.1047,43.2385,0.5738255033557047,0.8241601143674057,0.8496932515337423,0.4478476821192054,0.8392766818411735,0.9557294499292976,0.726979852404935,0.8278304666210989,0.4495357738513705
0014,0014_empty_room.jpg,0014_empty_room_book_inpainted.jpg,0014_mask_book.png,39.53,0.9743,0.0085,37.56,0.9863,4.7926,31.3604,43.0435,0.6640566741237883,0.8720514653323809,0.9049079754601227,0.7502759381898456,0.9919069296914516,0.9553743385650941,0.7242709765725146,0.8313658870007125,0.48820322298325836
0015,0015_empty_room.jpg,0015_empty_room_ronaldo_inpainted.jpg,0015_mask_ronaldo.png,27.13,0.95,0.0285,15.34,0.7493,4.6332,30.7932,42.8837,0.2017151379567487,0.6983559685489635,0.598159509202454,0.1371412803532009,0.6922104198280222,0.9604738657231154,0.7302798712621857,0.8342631186759035,0.29964612314163325
0016,0016_empty_room.jpg,0016_empty_room_mug_inpainted.jpg,0016_mask_mug.png,39.49,0.9726,0.0105,39.12,0.9716,4.8889,30.4166,43.9429,0.6625652498135721,0.8598999285203721,0.8742331288343558,0.7933222958057394,0.9733181588265047,0.9522935075405179,0.7342695569817381,0.8150594403882798,0.47933966143365997
0017,0017_tablenwall.jpg,0017_tablenwall_bench_inpainted.jpg,0017_mask_bench.png,36.28,0.9601,0.0159,33.58,0.9218,4.287,10.7402,34.5484,0.5428784489187175,0.7705503931379556,0.7914110429447853,0.6404525386313465,0.9103439554881132,0.9715495012444895,0.9427205715653848,0.9853851160615055,0.4209679770002917
0018,0018_tablenwall.jpg,0018_tablenwall_tree_inpainted.jpg,0018_mask_tree.png,39.45,0.9642,0.0066,42.67,0.9736,4.262,11.47,35.2443,0.6610738255033558,0.799857040743388,0.9340490797546012,0.8912803532008831,0.9758472432979262,0.9723493016143171,0.934989098814112,0.9727681978965155,0.478995989200269
0019,0019_tablenwall.jpg,0019_tablenwall_giraffe_inpainted.jpg,0019_mask_giraffe.png,39.45,0.9643,0.0065,42.03,0.977,4.273,11.6606,34.3348,0.6610738255033558,0.8005718370264481,0.9355828220858895,0.8736203090507727,0.9801466868993424,0.9719973894515929,0.9329698898439933,0.9892577611542512,0.4794456969231387
0020,0020_tablenwall.jpg,0020_tablenwall_plane_inpainted.jpg,0020_mask_plane.png,39.49,0.9648,0.0062,42.81,0.9781,4.2668,11.6885,34.5856,0.6625652498135721,0.8041458184417443,0.9401840490797546,0.8951434878587198,0.9815376833586241,0.9721957399433102,0.9326743183315782,0.9847106666352408,0.48137902346701417
0021,0021_tablenwall.jpg,0021_tablenwall_car_inpainted.jpg,0021_mask_car.png,39.4,0.9639,0.0065,39.78,0.9635,4.2571,11.5442,34.7602,0.6592095451155854,0.7977126518942103,0.9355828220858895,0.8115342163355409,0.9630753667172484,0.9725060624868033,0.9342030269065421,0.9815451056184176,0.47850100381913696
0022,0022_tablenwall.jpg,0022_tablenwall_book_inpainted.jpg,0022_mask_book.png,32.57,0.9418,0.0257,19.8,0.5983,4.2575,10.8523,38.1746,0.40454884414615966,0.6397426733380988,0.6411042944785276,0.2602097130242826,0.5012645422357107,0.972493265680886,0.9415329885352154,0.9196408012894313,0.33707916239255725
0023,0023_tablenwall.jpg,0023_tablenwall_ronaldo_inpainted.jpg,0023_mask_ronaldo.png,33.82,0.9419,0.0197,23.87,0.7615,4.3627,11.4769,34.9837,0.4511558538404176,0.6404574696211579,0.7331288343558283,0.37251655629139074,0.7076378351036924,0.9691277057246511,0.9349160004830845,0.9774929699525529,0.3649484315634807
