serial,ref_file,inp_file,mask_file,psnr,ssim,lpips,masked_psnr,masked_ssim,niqe,brisque,piqe,norm_psnr,norm_ssim,norm_lpips,norm_masked_psnr,norm_masked_ssim,norm_niqe,norm_brisque,norm_piqe,combined_metric
0001,0001_grass.jpg,0001_grass_bench_inpainted.jpg,0001_mask_bench.png,32.48,0.924,0.0249,23.94,0.8186,4.6352,5.7576,41.3945,0.40179238237490655,0.5125089349535389,0.651840490797546,0.37834821428571436,0.7800808897876642,0.9639119536498942,0.9946319498119646,0.8642944825322799,0.3132283616251983
0002,0002_grass.jpg,0002_grass_tree_inpainted.jpg,0002_mask_tree.png,32.67,0.925,0.0255,21.62,0.7091,4.6412,5.8697,40.6122,0.40888722927557886,0.5196568977841322,0.642638036809816,0.31361607142857145,0.6416835187057633,0.9637352247255548,0.9934434085793381,0.878479355506679,0.31423643277390545
0003,0003_grass.jpg,0003_grass_giraffe_inpainted.jpg,0003_mask_giraffe.png,34.73,0.9269,0.0219,25.75,0.7107,4.7098,6.2628,40.2837,0.4858103061986556,0.5332380271622587,0.6978527607361962,0.42885044642857145,0.6437057633973711,0.9617146240239409,0.9892755623835712,0.8844358054262623,0.34338021881942205
0004,0004_grass.jpg,0004_grass_plane_inpainted.jpg,0004_mask_plane.png,35.87,0.9375,0.0185,29.69,0.8724,4.7501,5.5106,39.9077,0.5283793876026885,0.6090064331665478,0.7499999999999999,0.5387834821428573,0.8480788675429726,0.9605275947487948,0.9972507694770737,0.8912535380587232,0.3774771641538472
0005,0005_grass.jpg,0005_grass_car_inpainted.jpg,0005_mask_car.png,32.86,0.9213,0.032,23.25,0.7531,4.9466,5.6553,40.6147,0.41598207617625094,0.49320943531093675,0.5429447852760736,0.35909598214285715,0.6972952477249746,0.9547397224766794,0.9957165864586879,0.8784340248375802,0.2904272593526523
0006,0006_grass.jpg,0006_grass_book_inpainted.jpg,0006_mask_book.png,33.78,0.9299,0.0207,24.51,0.8118,4.6557,5.5555,40.59,0.45033607169529505,0.5546819156540386,0.7162576687116564,0.3942522321428572,0.7714863498483315,0.9633081298250679,0.9967747168334972,0.8788818918482764,0.344255131212198
0007,0007_grass.jpg,0007_grass_ronaldo_inpainted.jpg,0007_mask_ronaldo.png,33.1,0.919,0.0214,22.46,0.6369,4.6643,5.2513,39.9445,0.42494398805078426,0.47676912080057243,0.705521472392638,0.33705357142857145,0.5504297269969666,0.9630548183668483,1.0,0.8905862706095887,0.32144691624879895
0008,0008_grass.jpg,0008_grass_mug_inpainted.jpg,0008_mask_mug.png,32.64,0.9188,0.0314,24.15,0.7198,4.7161,6.4009,41.4103,0.4077669902912622,0.47533952823445313,0.5521472392638037,0.38420758928571425,0.6552072800808897,0.9615290586533847,0.9878113559230385,0.8640079927035755,0.28705075155790377
0009,0009_empty_room.jpg,0009_empty_room_bench_inpainted.jpg,0009_mask_bench.png,29.69,0.9617,0.0255,16.49,0.8164,4.9054,30.6981,42.735,0.2976101568334579,0.7819871336669052,0.642638036809816,0.17047991071428567,0.7773003033367037,0.9559532610904765,0.7302000799429161,0.839988177761499,0.3444470654620358
0010,0010_empty_room.jpg,0010_empty_room_tree_inpainted.jpg,0010_mask_tree.png,39.7,0.9741,0.0087,41.54,0.9865,4.7668,31.007,42.9434,0.6713965646004482,0.8706218727662616,0.9003067484662576,0.8694196428571429,0.9922901921132458,0.9600356992427168,0.7269249649852147,0.8362094131854224,0.4884650371665934
0011,0011_empty_room.jpg,0011_empty_room_giraffe_inpainted.jpg,0011_mask_giraffe.png,39.84,0.9745,0.0083,44.71,0.987,4.8198,31.3912,43.045,0.6766243465272593,0.8734810578984994,0.9064417177914109,0.9578683035714286,0.992922143579373,0.9584745937443853,0.722851481117462,0.8343671747932467,0.49130942444343395
0012,0012_empty_room.jpg,0012_empty_room_plane_inpainted.jpg,0012_mask_plane.png,39.81,0.9745,0.0083,42.65,0.9875,4.7891,31.4798,43.0435,0.6755041075429425,0.8734810578984994,0.9064417177914109,0.900390625,0.9935540950455005,0.9593788567405886,0.7219120988408277,0.834394373194706,0.49108537664657054
0013,0013_empty_room.jpg,0013_empty_room_car_inpainted.jpg,0013_mask_car.png,37.12,0.9676,0.0122,26.61,0.8649,4.7656,30.9792,43.0488,0.5750560119492157,0.8241601143674057,0.8466257668711655,0.4528459821428571,0.8385995955510617,0.9600710450275846,0.7272197147288992,0.8342982721762165,0.4491683786375574
0014,0014_empty_room.jpg,0014_empty_room_book_inpainted.jpg,0014_mask_book.png,39.53,0.9743,0.0086,37.56,0.9863,4.7947,31.4127,43.0435,0.6650485436893204,0.8720514653323809,0.901840490797546,0.7583705357142858,0.9920374115267946,0.9592139097445385,0.7226235271790011,0.834394373194706,0.4877880999638495
0015,0015_empty_room.jpg,0015_empty_room_ronaldo_inpainted.jpg,0015_mask_ronaldo.png,27.13,0.9501,0.0285,15.34,0.7499,4.6525,30.8937,43.3297,0.20201643017176998,0.6990707648320227,0.5966257668711656,0.13839285714285712,0.6932507583417593,0.9634023852513823,0.7281262292283601,0.8292049181962745,0.29954259237499165
0016,0016_empty_room.jpg,0016_empty_room_mug_inpainted.jpg,0016_mask_mug.png,39.49,0.9726,0.0107,39.07,0.971,4.897,30.4045,43.941,0.6635548917102316,0.8598999285203721,0.8696319018404907,0.8005022321428572,0.9726996966632961,0.9562006815845517,0.7333129765165034,0.8181206629882339,0.4786173444142188
0017,0017_tablenwall.jpg,0017_tablenwall_bench_inpainted.jpg,0017_mask_bench.png,36.27,0.9601,0.0159,33.55,0.9222,4.2817,10.6738,34.5906,0.5433159073935774,0.7705503931379556,0.7898773006134969,0.6464843749999999,0.9110212335692619,0.9743242327755574,0.9425078962184033,0.9876646183248323,0.42074872022900595
0018,0018_tablenwall.jpg,0018_tablenwall_tree_inpainted.jpg,0018_mask_tree.png,39.44,0.9642,0.0066,42.5,0.9733,4.2678,11.4867,35.2474,0.6616878267363704,0.799857040743388,0.9325153374233127,0.8962053571428572,0.9756066734074823,0.9747336547836102,0.9338891168428274,0.9757553449391935,0.4788120409806142
0019,0019_tablenwall.jpg,0019_tablenwall_giraffe_inpainted.jpg,0019_mask_giraffe.png,39.45,0.9643,0.0065,41.81,0.977,4.2604,11.704,34.4463,0.6620612397311427,0.8005718370264481,0.9340490797546012,0.8769531250000001,0.980283114256825,0.9749516204569623,0.9315851916880572,0.9902811045452155,0.47933643130243836
0020,0020_tablenwall.jpg,0020_tablenwall_plane_inpainted.jpg,0020_mask_plane.png,39.49,0.9648,0.0062,42.43,0.9775,4.2686,11.6477,34.5851,0.6635548917102316,0.8041458184417443,0.9386503067484662,0.8942522321428572,0.9809150657229525,0.9747100909270316,0.9321821129315618,0.9877643457968498,0.48127020338008836
