serial,ref_file,inp_file,mask_file,psnr,ssim,lpips,masked_psnr,masked_ssim,niqe,brisque,piqe,norm_psnr,norm_ssim,norm_lpips,norm_masked_psnr,norm_masked_ssim,norm_niqe,norm_brisque,norm_piqe,combined_metric
0021,0021_wall-floor.jpg,result_index_0021.png,0021_mask_car.png,42.96,0.9933,0.0089,46.31,0.995,7.2115,63.6028,69.6914,1.0,1.0,1.0,0.8943310657596373,0.9955804678236498,0.0,0.0,0.0,0.6
0050,0050_playground.jpg,result_index_0050.png,0050_mask_tree.png,22.28,0.9162,0.0729,50.78,0.9991,4.7353,51.0342,47.2785,0.4296745725317155,0.8985392814844059,0.9127114020731043,0.9956916099773243,1.0,0.5992594564507153,0.22739254641079598,0.7830654741108238,0.44818505121784513
0053,0053_playground.jpg,result_index_0053.png,0053_mask_car.png,21.08,0.9044,0.0745,14.05,0.533,5.4111,47.8315,46.8368,0.39658025372311084,0.8830109224898013,0.9105291871249318,0.16281179138321997,0.49757464697639325,0.43571065559884803,0.2853361605277108,0.7984976591433165,0.4380240726675688
0055,0055_playground.jpg,result_index_0055.png,0055_mask_ronaldo.png,20.23,0.9161,0.0738,11.78,0.4845,5.323,52.483,48.8077,0.37313844456701606,0.8984076852217397,0.9114839061647573,0.1113378684807256,0.4452948151342028,0.45703153360276855,0.20118069137205175,0.7296380406680177,0.4366060071907026
0056,0056_playground.jpg,result_index_0056.png,0056_mask_mug.png,6.7,0.2334,0.72,6.87,0.0714,5.8782,49.0322,41.0694,0.0,0.0,0.030141843971631218,0.0,0.0,0.3226688608697758,0.2636129590195521,1.0,0.006028368794326244
0060,0060_beach.jpg,result_index_0060.png,0060_mask_plane.png,25.29,0.9491,0.04,50.72,0.9852,5.9541,54.35,46.373,0.5126861555432984,0.941834451901566,0.957583196944899,0.9943310657596371,0.985016707987496,0.30430047675516075,0.16740271417897082,0.8147019774998254,0.48242076087795266
0061,0061_beach.jpg,result_index_0061.png,0061_mask_car.png,34.66,0.9849,0.0126,50.97,0.9988,6.5516,50.7172,49.6842,0.7710976282404853,0.9889459139360443,0.9949536279323514,1.0,0.9996766195968525,0.15970087848793602,0.23312774660908556,0.6990147439032913,0.5509994340217762
0067,0067_office.jpg,result_index_0067.png,0067_mask_giraffe.png,31.81,0.9678,0.021,34.97,0.9846,3.9035,10.7524,52.7704,0.6924986210700497,0.9664429530201342,0.9834969994544462,0.6371882086167799,0.9843699471812009,0.8005614578543598,0.9561754717971078,0.591188596184753,0.528487714708926
0069,0069_office.jpg,result_index_0069.png,0069_mask_car.png,23.86,0.8891,0.0897,22.24,0.8408,3.0794,8.3301,48.1348,0.4732487589630447,0.8628766943018817,0.889798145117294,0.3485260770975056,0.8293629406057993,1.0,1.0,0.7531479281671443,0.44518471967644413
0076,0076_wall-floor.jpg,result_index_0076.png,0076_mask_giraffe_book.png,11.61,0.404,0.7421,8.64,0.4123,3.5793,9.0012,47.5655,0.13541092112520683,0.22450322410843535,0.0,0.040136054421768715,0.36746793144335455,0.8790203528472207,0.987858382166965,0.7730382223464468,0.07198282904672844
