serial,ref_file,inp_file,mask_file,psnr,ssim,lpips,masked_psnr,masked_ssim,niqe,brisque,piqe,norm_psnr,norm_ssim,norm_lpips,norm_masked_psnr,norm_masked_ssim,norm_niqe,norm_brisque,norm_piqe,combined_metric
0001,0001_grass.jpg,0001_grass_bench_inpainted.png,0001_mask_bench.png,31.87,0.9772,0.0164,20.78,0.8429,4.6652,1.3267,37.3,0.19856591285162722,0.2795698924731161,0.5490196078431372,0.1752249867654845,0.5478011472275334,0.43284771226951996,1.0,1.0,0.20543108263357607
0002,0002_grass.jpg,0002_grass_tree_inpainted.png,0002_mask_tree.png,36.63,0.9829,0.0131,23.28,0.7646,4.8794,1.8581,38.5011,0.46111417539988986,0.4838709677419352,0.6568627450980392,0.3075701429327688,0.29827915869980853,0.189050762576826,0.9807425392741307,0.8753993941657326,0.3203695776479728
0003,0003_grass.jpg,0003_grass_giraffe_inpainted.png,0003_mask_giraffe.png,37.31,0.9813,0.0118,23.47,0.7284,4.1669,1.7881,38.7133,0.4986210700496417,0.42652329749103735,0.6993464052287582,0.31762837480148226,0.18291905672402808,1.0,0.9832792766674519,0.8533860326154613,0.3248981545538874
0004,0004_grass.jpg,0004_grass_plane_inpainted.png,0004_mask_plane.png,43.49,0.9948,0.0026,27.34,0.8971,4.6727,1.9923,38.9939,0.8394925537782683,0.9103942652329766,1.0,0.5224986765484384,0.7205226258763543,0.4243114045071705,0.9758792513000779,0.8242769409519068,0.5499773638022489
0005,0005_grass.jpg,0005_grass_car_inpainted.png,0005_mask_car.png,36.24,0.9769,0.0177,24.18,0.7782,4.8085,1.8425,38.3513,0.4396028681742969,0.26881720430107425,0.5065359477124183,0.355214399152991,0.34161886551943904,0.2697473252902337,0.981307869321785,0.890939458068799,0.24299120403755786
0006,0006_grass.jpg,0006_grass_book_inpainted.png,0006_mask_book.png,36.89,0.9872,0.0068,24.25,0.8568,4.7913,1.7677,38.2052,0.4754550468836184,0.6379928315412178,0.8627450980392156,0.358920063525675,0.5920968769917144,0.28932392442522203,0.9840185544220768,0.9060956886177849,0.3952385952928104
0007,0007_grass.jpg,0007_grass_ronaldo_inpainted.png,0007_mask_ronaldo.png,36.41,0.9738,0.0178,23.23,0.671,4.4469,2.2627,38.9404,0.4489795918367345,0.15770609318996312,0.5032679738562091,0.30492323980942304,0.0,0.6813111760801971407346,0.8298269637744305,0.22199073177658135
0008,0008_grass.jpg,0008_grass_mug_inpainted.png,0008_mask_mug.png,28.27,0.9694,0.0332,17.47,0.7094,4.8552,1.5116,37.5128,0.0,0.0,0.0,0.0,0.12237093690248564,0.21659458229000658,0.9932993893710702,0.9779243952031204,0.0
0009,0009_empty_room.jpg,0009_empty_room_bench_inpainted.png,0009_mask_bench.png,31.29,0.986,0.0175,17.75,0.8398,4.9414,28.9212,46.1994,0.1665747380033094,0.5949820788530463,0.5130718954248366,0.0148226574907359,0.5379222434671764,0.11848395174140668,0.0,0.07678741856508584,0.25492574245623845
0010,0010_empty_room.jpg,0010_empty_room_tree_inpainted.png,0010_mask_tree.png,46.4,0.9973,0.0031,36.36,0.9848,5.0455,27.9903,46.9396,1.0,1.0,0.9836601307189542,1.0,1.0,0.0,0.03373498342060909,0.0,0.5967320261437908
