serial,ref_file,inp_file,mask_file,psnr,ssim,lpips,masked_psnr,masked_ssim,niqe,brisque,piqe,norm_psnr,norm_ssim,norm_lpips,norm_masked_psnr,norm_masked_ssim,norm_niqe,norm_brisque,norm_piqe,combined_metric
0001,0001_grass.jpg,0001_grass_bench_inpainted.png,0001_mask_bench.png,22.87,0.9436,0.054,13.85,0.7046,4.2067,0.4118,36.1504,0.1624758220502902,0.6296800544588156,0.5369244135534318,0.14901007294199373,0.6507680872150644,0.9493514065005101,1.0,0.687401562992185,0.2658160580125075
0002,0002_grass.jpg,0002_grass_tree_inpainted.png,0002_mask_tree.png,32.96,0.972,0.0239,21.9,0.7324,4.8936,1.7554,36.521,0.4877498388136686,0.823008849557522,0.7984361424847959,0.4286210489753386,0.6852081268582756,0.9199053473597573,0.9856679456286488,0.6804528477357613,0.42183896617119726
0003,0003_grass.jpg,0003_grass_giraffe_inpainted.png,0003_mask_giraffe.png,32.54,0.9658,0.0276,21.37,0.6646,4.197,1.6174,38.1321,0.4742101869761444,0.7808032675289313,0.7662901824500434,0.4102118791246961,0.6012140733399405,0.949767226523316,0.9871399786021873,0.6502448737756311,0.40426072739102387
0004,0004_grass.jpg,0004_grass_plane_inpainted.png,0004_mask_plane.png,38.82,0.9892,0.0068,25.48,0.841,4.7134,1.7045,38.7857,0.6766602192134107,0.9400953029271611,0.9470026064291921,0.5529697811740187,0.8197472745292368,0.9276301688143557,0.9862108911239612,0.6379899350503248,0.5127516257139527
0005,0005_grass.jpg,0005_grass_car_inpainted.png,0005_mask_car.png,31.88,0.9638,0.0314,22.24,0.7612,5.0261,1.3549,36.8483,0.45293359123146354,0.7671885636487407,0.7332754126846222,0.4404307051059395,0.7208870168483646,0.9142253315843172,0.9899400413235923,0.6743160034199829,0.39067951351296526
0006,0006_grass.jpg,0006_grass_book_inpainted.png,0006_mask_book.png,29.02,0.9741,0.0219,18.2,0.7765,4.6466,1.3902,36.1485,0.3607350096711799,0.8373042886317221,0.8158123370981755,0.30010420284821115,0.7398414271555995,0.9304937541260493,0.9895634995557233,0.6874371878140609,0.40277032708021543
0007,0007_grass.jpg,0007_grass_ronaldo_inpainted.png,0007_mask_ronaldo.png,33.22,0.9554,0.0345,22.39,0.6072,4.1922,1.0928,36.7709,0.49613152804642163,0.7100068073519403,0.7063423110338836,0.4456408475164988,0.5301040634291376,0.9499729931325395,0.9927358372827552,0.6757672461637693,0.3824961292864491
0008,0008_grass.jpg,0008_grass_mug_inpainted.png,0008_mask_mug.png,24.48,0.944,0.0578,15.92,0.6509,4.2098,0.6509,34.5616,0.21437782076079953,0.6324029952348534,0.5039096437880105,0.220910038207711,0.5842418235877106,0.9492185155653866,0.9974495428697604,0.7171914140429299,0.27013809195673266
0009,0009_empty_room.jpg,0009_empty_room_bench_inpainted.png,0009_mask_bench.png,26.78,0.9754,0.0325,15.66,0.7926,5.1194,28.3318,44.3202,0.28852353320438434,0.8461538461538465,0.7237185056472633,0.21187912469607503,0.7597869177403369,0.9102257431175357,0.7021799954985658,0.5342185789071054,0.3716791770010988
0010,0010_empty_room.jpg,0010_empty_room_tree_inpainted.png,0010_mask_tree.png,43.44,0.9961,0.0046,34.89,0.9824,5.1069,26.2717,44.5781,0.8255963894261765,0.9870660313138189,0.9661164205039097,0.8798193817297673,0.9949207135777998,0.9107615936623885,0.724154887736152,0.5293829780851096,0.5557557682487809
0011,0011_empty_room.jpg,0011_empty_room_giraffe_inpainted.png,0011_mask_giraffe.png,45.48,0.9964,0.0045,35.26,0.9743,5.1036,27.9065,46.2462,0.8913604126370083,0.9891082368958473,0.9669852302345786,0.89267106634248,0.9848860257680873,0.9109030582062296,0.7067166304525221,0.49810625946870263,0.5694907759534868
0012,0012_empty_room.jpg,0012_empty_room_plane_inpainted.png,0012_mask_plane.png,43.23,0.9967,0.0045,32.83,0.9819,5.0767,27.8969,46.7483,0.8188265635074145,0.9911504424778763,0.9669852302345786,0.8082667592914206,0.9943012884043607,0.912056208578753,0.7068190327463335,0.4886919315403423,0.5553924472439739
0013,0013_empty_room.jpg,0013_empty_room_car_inpainted.png,0013_mask_car.png,33.7,0.9823,0.0272,22.58,0.8358,5.2279,28.0729,41.3869,0.5116054158607352,0.8931245745405034,0.7697654213727194,0.4522403612365404,0.8133052527254707,0.9055745603882129,0.7049416573597915,0.5892176789116055,0.4348990823547916
0014,0014_empty_room.jpg,0014_empty_room_book_inpainted.png,0014_mask_book.png,45.7,0.9971,0.0041,36.02,0.9827,5.1348,27.9092,46.958,0.8984526112185687,0.9938733832539142,0.9704604691572546,0.9190691212226468,0.9952923686818632,0.9095655752462769,0.7066878298073876,0.484760076199619,0.5725572927259475
0015,0015_empty_room.jpg,0015_empty_room_ronaldo_inpainted.png,0015_mask_ronaldo.png,26.13,0.9489,0.0507,16.69,0.6896,4.8528,26.8077,42.4429,0.2675693101225016,0.6657590197413205,0.5655951346655083,0.24765543591524838,0.6321853320118929,0.921654363538157,0.7184374263316832,0.5694177779111104,0.29978469290586607
0016,0016_empty_room.jpg,0016_empty_room_mug_inpainted.png,0016_mask_mug.png,31.83,0.9832,0.03,23.66,0.9155,5.1083,23.2495,36.8425,0.45132172791747255,0.8992511912865893,0.7454387489139879,0.48975338659256684,0.912041625371655,0.910701578401365,0.7563924098566475,0.6744247528762356,0.4192023336236099
