serial,ref_file,inp_file,mask_file,psnr,ssim,lpips,masked_psnr,masked_ssim,niqe,brisque,piqe,norm_psnr,norm_ssim,norm_lpips,norm_masked_psnr,norm_masked_ssim,norm_niqe,norm_brisque,norm_piqe,combined_metric
0001,0001_grass.jpg,0001_grass_bench_inpainted.jpg,0001_mask_bench.png,22.96,0.9443,0.0531,13.94,0.7128,4.3133,0.8878,36.9394,0.08814102564102565,0.5198938992042442,0.4537902388369678,0.12667517549457558,0.6406190536597742,0.9488917613796026,0.9955532971699211,0.7805493446019406,0.21236503273644755
0002,0002_grass.jpg,0002_grass_tree_inpainted.jpg,0002_mask_tree.png,32.86,0.9712,0.0242,21.81,0.7346,4.8886,2.2521,39.0431,0.40544871794871795,0.7577365163572054,0.7538940809968847,0.3777919591576259,0.6682734999365725,0.9240206992257244,0.9817435164481442,0.7413187030409947,0.3834158630605616
0003,0003_grass.jpg,0003_grass_giraffe_inpainted.jpg,0003_mask_giraffe.png,32.57,0.9652,0.0269,21.41,0.6675,4.1429,2.254,38.3836,0.3961538461538462,0.7046861184792214,0.7258566978193146,0.3650287172941927,0.5831536217176202,0.956258403116124,0.9817242841800423,0.7536173236187595,0.3653393324904764
0004,0004_grass.jpg,0004_grass_plane_inpainted.jpg,0004_mask_plane.png,39.03,0.9885,0.0066,25.76,0.8456,4.9456,2.3471,38.9622,0.6032051282051283,0.9106984969053935,0.936656282450675,0.5038289725590299,0.8090828364835723,0.9215565056870993,0.9807819030430509,0.7428273586964022,0.4901119815122394
0005,0005_grass.jpg,0005_grass_car_inpainted.jpg,0005_mask_car.png,31.88,0.9633,0.032,22.26,0.7641,5.0638,1.9911,38.0901,0.37403846153846154,0.6878868258178605,0.6728971962616822,0.3921506062539885,0.7056958010909552,0.9164465464543713,0.9843854227505584,0.7590906293648914,0.3469644967236008
0006,0006_grass.jpg,0006_grass_book_inpainted.jpg,0006_mask_book.png,29.1,0.9742,0.0225,18.29,0.7848,4.8838,2.0189,38.6322,0.2849358974358975,0.7842617152961975,0.7715472481827623,0.2654754307594128,0.7319548395280985,0.924228210260556,0.984104024301489,0.7489813310855794,0.36814897218297143
0007,0007_grass.jpg,0007_grass_ronaldo_inpainted.jpg,0007_mask_ronaldo.png,33.18,0.9544,0.033,22.37,0.6069,4.2004,1.6955,38.819,0.4157051282051282,0.6091954022988507,0.6625129802699896,0.39566049776643264,0.5062793352784473,0.9537725938447038,0.9873775587773541,0.7454978097452815,0.3374827021547937
0008,0008_grass.jpg,0008_grass_mug_inpainted.jpg,0008_mask_mug.png,24.54,0.9445,0.0575,15.98,0.6598,4.1408,1.4897,36.9722,0.13878205128205123,0.5216622458001768,0.4080996884735202,0.19176770899808548,0.5733857668400356,0.9563491891938629,0.9894607170801772,0.7799376770432587,0.21370879711114962
0009,0009_tablenwall.jpg,0009_tablenwall_bench_inpainted.jpg,0009_mask_bench.png,40.72,0.9936,0.0063,30.6,0.9509,4.0373,0.6028,28.2947,0.6573717948717949,0.9557913351016799,0.9397715472481828,0.6582641991065731,0.9426614233159964,0.960823645882419,0.998438137385201,0.9417591782768504,0.5105869354443314
0010,0010_tablenwall.jpg,0010_tablenwall_tree_inpainted.jpg,0010_mask_tree.png,44.19,0.9939,0.0037,35.12,0.9662,4.0118,0.4485,27.2725,0.7685897435897436,0.9584438549955788,0.9667705088265837,0.8024888321633694,0.9620702778130154,0.9619260482549619,1.0,0.9608215739623562,0.5387608214823811
0011,0011_tablenwall.jpg,0011_tablenwall_giraffe_inpainted.jpg,0011_mask_giraffe.png,39.56,0.9879,0.0078,28.1,0.8762,3.9635,1.8918,28.0095,0.6201923076923078,0.9053934571175948,0.9241952232606438,0.5784939374601149,0.8479005454776101,0.9640141280429548,0.9853905618150401,0.9470777022931938,0.48995619761410925
0012,0012_tablenwall.jpg,0012_tablenwall_plane_inpainted.jpg,0012_mask_plane.png,49.0,0.996,0.0019,38.57,0.9733,4.0816,1.4547,29.4842,0.9227564102564103,0.9770114942528731,0.9854620976116303,0.9125717932354818,0.9710770011416974,0.9589084919567857,0.9898149957031064,0.9195769050740434,0.5770460004241827
0013,0013_tablenwall.jpg,0013_tablenwall_car_inpainted.jpg,0013_mask_car.png,28.98,0.9621,0.0322,17.8,0.6303,4.3989,1.5464,26.7081,0.2810897435897436,0.677276746242263,0.6708203530633436,0.24984045947670705,0.5359634656856527,0.9451911479251057,0.9888867857110321,0.9713467315879672,0.32583736857907003
0014,0014_tablenwall.jpg,0014_tablenwall_book_inpainted.jpg,0014_mask_book.png,48.35,0.9958,0.002,37.88,0.967,4.1242,1.2631,28.6647,0.901923076923077,0.9752431476569405,0.9844236760124611,0.8905552010210593,0.963085119878219,0.9570668315226554,0.9917544181074841,0.9348592698405003,0.5723179801184957
