serial,ref_file,inp_file,mask_file,psnr,ssim,lpips,masked_psnr,masked_ssim,niqe,brisque,piqe,norm_psnr,norm_ssim,norm_lpips,norm_masked_psnr,norm_masked_ssim,norm_niqe,norm_brisque,norm_piqe,combined_metric
0001,0001_grass.jpg,0001_grass_bench_inpainted.jpg,0001_mask_bench.png,24.02,0.9269,0.0673,16.17,0.6749,3.8053,1.3715,35.4631,0.2223903177004538,0.627737226277372,0.6088235294117648,0.22579586478503455,0.6171352074966533,0.9567283893647904,0.9921379053626751,0.8162375533011003,0.29179021467791816
0002,0002_grass.jpg,0002_grass_tree_inpainted.jpg,0002_mask_tree.png,32.39,0.969,0.026,21.68,0.7305,4.9212,2.2289,38.6593,0.475642965204236,0.8472367049009385,0.851764705882353,0.4066294716114211,0.6847998052817329,0.9099161835404275,0.9835583458080838,0.7537484285828799,0.43492887519750545
0003,0003_grass.jpg,0003_grass_giraffe_inpainted.jpg,0003_mask_giraffe.png,31.23,0.9622,0.0311,20.39,0.6618,4.1794,2.2206,38.8376,0.4405446293494705,0.8117831074035458,0.821764705882353,0.36429274696422714,0.6011926493854205,0.941034827039408,0.9836413996269583,0.7502624730928421,0.41481848852707376
0004,0004_grass.jpg,0004_grass_plane_inpainted.jpg,0004_mask_plane.png,38.38,0.9866,0.0083,25.62,0.8335,4.8242,2.236,39.3192,0.6568835098335856,0.9389989572471328,0.9558823529411764,0.5359369872005252,0.8101496896677618,0.9139853509971558,0.9834872997702512,0.7408466785667502,0.5103529640043789
0005,0005_grass.jpg,0005_grass_car_inpainted.jpg,0005_mask_car.png,31.54,0.9605,0.0334,22.26,0.7628,5.0908,2.0093,37.9398,0.4499243570347957,0.8029197080291973,0.8082352941176472,0.42566458811946184,0.7241085554338565,0.9028014330181477,0.9857557697387909,0.7678154222737502,0.4122158718363281
0006,0006_grass.jpg,0006_grass_book_inpainted.jpg,0006_mask_book.png,28.43,0.9716,0.0241,17.92,0.7744,4.892,2.0493,37.5303,0.35582450832072615,0.8607924921793537,0.8629411764705882,0.2832294059730884,0.7382256297918948,0.9111411287954426,0.9853555103707202,0.7758215847704999,0.4159116353941336
0007,0007_grass.jpg,0007_grass_ronaldo_inpainted.jpg,0007_mask_ronaldo.png,30.25,0.9497,0.0449,19.75,0.5917,4.0361,1.778,40.2167,0.41089258698940995,0.7466110531803963,0.7405882352941177,0.343288480472596,0.5158817086527929,0.9470462878285748,0.9880702695346585,0.7232995947063527,0.3796183750927848
0008,0008_grass.jpg,0008_grass_mug_inpainted.jpg,0008_mask_mug.png,24.81,0.9415,0.0575,16.52,0.6617,4.0245,1.9061,37.321,0.24629349470499237,0.7038581856100106,0.6664705882352941,0.23728257302264524,0.6010709504685406,0.9475329099161836,0.9867884389084127,0.7799136233799496,0.3233244537100594
0009,0009_empty_room.jpg,0009_empty_room_bench_inpainted.jpg,0009_mask_bench.png,26.21,0.9653,0.048,16.23,0.7547,5.0794,30.0642,43.5104,0.2886535552193646,0.8279457768508868,0.7223529411764705,0.22776501476862493,0.7142509431666058,0.9032796650697632,0.7050248561067572,0.6589042408222399,0.3677904546493444
0010,0010_empty_room.jpg,0010_empty_room_tree_inpainted.jpg,0010_mask_tree.png,42.24,0.996,0.0058,33.58,0.9819,5.1811,27.5705,46.2657,0.773676248108926,0.9880083420229407,0.9705882352941176,0.7971775516901871,0.9907508823171474,0.8990133317671933,0.729978025760693,0.6050351821475285,0.5464545650851969
0011,0011_empty_room.jpg,0011_empty_room_giraffe_inpainted.jpg,0011_mask_giraffe.png,44.34,0.9954,0.007,33.7,0.9687,4.8896,28.9004,45.9507,0.8372163388804842,0.9848800834202294,0.9635294117647059,0.8011158516573681,0.9746866252890347,0.9112418092273618,0.7166704024207686,0.6111937686834898,0.5571251668130839
0012,0012_empty_room.jpg,0012_empty_room_plane_inpainted.jpg,0012_mask_plane.png,42.62,0.9965,0.0047,32.31,0.9815,5.1202,28.9552,46.2918,0.7851739788199696,0.990615224191867,0.9770588235294116,0.7554972103708567,0.9902640866496288,0.9015680977271393,0.7161220470865121,0.6045248992631203,0.5505696053082497
0013,0013_empty_room.jpg,0013_empty_room_car_inpainted.jpg,0013_mask_car.png,33.44,0.9809,0.034,22.69,0.8329,5.287,29.3918,40.7857,0.5074130105900151,0.9092805005213765,0.8047058823529412,0.4397768296685265,0.809419496166484,0.8945708077087652,0.7117532160840224,0.7121750368048863,0.4442798786928666
0014,0014_empty_room.jpg,0014_empty_room_book_inpainted.jpg,0014_mask_book.png,45.59,0.9971,0.004,35.61,0.983,5.1439,28.9584,46.6129,0.8750378214826022,0.9937434827945778,0.9811764705882352,0.8638004594683295,0.9920895704028232,0.9005738784619387,0.7160900263370665,0.5982470512101133,0.5699915549730831
0015,0015_empty_room.jpg,0015_empty_room_ronaldo_inpainted.jpg,0015_mask_ronaldo.png,25.95,0.9459,0.0547,16.84,0.6921,4.7821,27.6802,42.5094,0.280786686838124,0.7267987486965589,0.6829411764705883,0.2477847062684608,0.6380674211999512,0.9157514535737359,0.7288803144437596,0.6784748602587389,0.33810532240105423
0016,0016_empty_room.jpg,0016_empty_room_mug_inpainted.jpg,0016_mask_mug.png,31.29,0.9817,0.0338,23.4,0.912,5.1466,24.6116,37.4748,0.4423600605143721,0.9134515119916582,0.8058823529411765,0.4630784378076797,0.905683339418279,0.9004606129760298,0.7595862118652889,0.776906669064931,0.4323387850894413
0017,0017_tablenwall.jpg,0017_tablenwall_bench_inpainted.jpg,0017_mask_bench.png,45.49,0.9919,0.0046,36.51,0.9452,4.0385,,28.9521,0.8720121028744328,0.9666319082377478,0.9776470588235294,0.8933377092221858,0.9460873798223196,0.9469456073966558,,0.943534559446001,0.5632582139871419
0018,0018_tablenwall.jpg,0018_tablenwall_tree_inpainted.jpg,0018_mask_tree.png,45.5,0.9949,0.0031,35.82,0.9676,4.0457,0.8147,26.5341,0.8723146747352496,0.9822732012513037,0.9864705882352941,0.8706924844108961,0.9733479372033589,0.9466435661008986,0.9977095157662166,0.9908090427601417,0.5682116928443695
0019,0019_tablenwall.jpg,0019_tablenwall_giraffe_inpainted.jpg,0019_mask_giraffe.png,47.47,0.9953,0.0029,37.12,0.9725,4.0841,1.0477,28.6398,0.9319213313161876,0.9843587069864442,0.9876470588235293,0.9133574007220217,0.9793111841304611,0.9450326791901938,0.9953780049472057,0.9496403580973682,0.5807854194252321
0020,0020_tablenwall.jpg,0020_tablenwall_plane_inpainted.jpg,0020_mask_plane.png,49.72,0.9969,0.0014,37.9,0.966,4.0968,1.7319,28.4266,1.0,0.9927007299270075,0.996470588235294,0.9389563505086971,0.9714007545332846,0.9444999119046222,0.9885315684563598,0.9538086458734537,0.5978342636324603
0021,0021_tablenwall.jpg,0021_tablenwall_car_inpainted.jpg,0021_mask_car.png,43.51,0.994,0.0034,32.5,0.9484,4.0827,0.8145,27.4391,0.8121028744326777,0.9775808133472369,0.9847058823529412,0.7617328519855596,0.9499817451624679,0.9450914094421466,0.9977115170630569,0.9731153258869831,0.5548779140265712
0022,0022_tablenwall.jpg,0022_tablenwall_book_inpainted.jpg,0022_mask_book.png,30.07,0.9693,0.0256,18.77,0.6967,4.0804,3.8884,27.0959,0.40544629349470496,0.8488008342022945,0.8541176470588234,0.3111256974072859,0.6436655713764146,0.9451878948560689,0.9669525852752584,0.9798252525509257,0.4216729549511646
0023,0023_tablenwall.jpg,0023_tablenwall_ronaldo_inpainted.jpg,0023_mask_ronaldo.png,32.75,0.9608,0.0259,23.94,0.7762,3.8291,4.6447,26.064,0.48653555219364597,0.8044838373305527,0.8523529411764705,0.4808007876599935,0.7404162102957283,0.9557299750815932,0.9593846812734652,1.0,0.42867446614013377
0024,0024_tablenwall.jpg,0024_tablenwall_mug_inpainted.jpg,0024_mask_mug.png,45.69,0.9949,0.0032,35.4,0.9589,3.9618,0.5858,27.8697,0.8780635400907715,0.9822732012513037,0.9858823529411764,0.856908434525763,0.96276013143483,0.9501631862000688,1.0,0.9646966358476659,0.5692438188566503
0025,0025_wall-floor.jpg,0025_wall-floor_bench_inpainted.jpg,0025_mask_bench.png,34.33,0.992,0.0104,26.3,0.9607,6.2371,60.1667,70.2733,0.534341906202723,0.9671532846715329,0.943529411764706,0.5582540203478832,0.9649507119386636,0.85471394172281,0.40380466542319426,0.1356609531927872,0.4890049205277924
0026,0026_wall-floor.jpg,0026_wall-floor_tree_inpainted.jpg,0026_mask_tree.png,48.05,0.998,0.0016,37.63,0.9879,7.1868,62.2055,77.2121,0.9494704992435703,0.9984358706986446,0.9952941176470589,0.9300951755825404,0.9980528173299257,0.8148738558088414,0.3834034454326404,0.0,0.5886400975178547
0027,0027_wall-floor.jpg,0027_wall-floor_giraffe_inpainted.jpg,0027_mask_giraffe.png,48.21,0.9981,0.0019,37.45,0.9872,7.0431,62.5829,76.8077,0.9543116490166416,0.9989572471324297,0.9935294117647058,0.9241877256317691,0.997200924911768,0.8209020966699948,0.3796269982948951,0.007906452048072355,0.5893596615827554
