input log file location, output/qnn-profiling-data.log
qnn-profile-viewer version, v2.38.0.250901140452_125126
qnn-net-run version, v2.38.0.250901140452_125126
Backend version, v2.38.0.250901140452_125126
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
8806672757,INIT,53289,US,NETRUN,ROOT,null
8806672757,INIT,42614,US,BACKEND,ROOT,RPC (load binary) time
8806672757,INIT,42033,US,BACKEND,ROOT,QNN accelerator (load binary) time
8806672757,INIT,41593,US,BACKEND,ROOT,Accelerator (load binary) time
8806672757,INIT,53140,US,BACKEND,ROOT,QNN (load binary) time
0,COMPOSE GRAPHS,0,US,NETRUN,ROOT,null
8807098182,DE-INIT,10381,US,NETRUN,ROOT,null
8807098182,DE-INIT,2539,US,BACKEND,ROOT,RPC (deinit) time
8807098182,DE-INIT,1427,US,BACKEND,ROOT,QNN Accelerator (deinit) time
8807098182,DE-INIT,1365,US,BACKEND,ROOT,Accelerator (deinit) time
8807098182,DE-INIT,10334,US,BACKEND,ROOT,QNN (deinit) time
8807014369,EXECUTE,331368,US,NETRUN,ROOT,Graph 0: graph_bjir5tvd
8807014369,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
8807014369,EXECUTE,328156,US,BACKEND,ROOT,RPC (execute) time
8807014369,EXECUTE,327339,US,BACKEND,ROOT,QNN accelerator (execute) time
8807014369,EXECUTE,327166,US,BACKEND,ROOT,Accelerator (execute) time
8807014369,EXECUTE,323152,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
8807014369,EXECUTE,331131,US,BACKEND,ROOT,QNN (execute) time
8807087420,EXECUTE IPS,2.950166,INF/SEC,NETRUN,ROOT,null
